id,[kolicina sestavina]
20012,[ <b>Za peko brancina; </b>; 1 kg očiščenega brancina ali tri kose ribe (riba mora biti sveža) ; 2 kg grobe morske soli ; 4 jajčni beljaki ; 2 vejici rožmarina;  <b>Za marinado; </b>;  "šopek sveže <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> "; 3 stroki česna ; 4 jedilne žlice olivnega olja;  <b>Sestavine za solato; </b>; 5 srednje velikih krompirjev ;  šopek divjih špargljev ; malo soli ; malo sladkorja ;  košček masla ;  olivno olje;  limonin sok]
20013,[ <b>Za pripravo testa:</b>; 250 g pšenične moke ; 250 g bio masla ; žlička soli; malo več kot 1 dl vode (1/8 l) ;  <b>Za nadev:</b>; 3 mlade bučke ; 2 krompirja ; 1 čebula ; 3 stroki česna ;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>";  sol ;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 250 g nepasirane skute ; 2 jedilni žlici kisle smetane; 1 jedilna žlica olivnega olja ; 3 jedilne žlice pšeničnega zdroba;  <b>Sestavina za premaz:</b>; 1 jajce]
20014,[2-3 JŽ olivega olja; 3 šalotke; 4 srednje veliki krompirji; 2 svinjska kotleta; 1 večji korenček; 3 zrna česna; 3 JŽ paradižnikove mezge; ščep "ali 2 <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; ščep soli; ščep grobo nasekljanega timijana; 1/2 ČŽ mletega ingverja; 3 "vejice <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 1 listič luštreka;  kisla smetana ali grški jogurt]
20015,[1 svinjska ribica;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 1 "manjše kislo <a href=""https://www.kulinarika.net/recepti/zacimbe/269/granatno-jabolko/"">jabolko</a>"; 70 g grobo naribanega parmezana; 100 g kraškega pršuta; 50 g masla;  žička moke; 1 dl goveje juhe]
20016,[ <b>Za lešo ribo:</b>; 4 srednje veliki osliči; 1 čebula; 4 stroki česna; 2 žlici olivnega olja; 2 žlici vinskega kisa;  "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"; 5-6 "zrn belega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>";  "manjši šopek <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>";  voda;  "<b>Za paradižnikovo ""šalšo"":</b>"; 300 g "paradižnika (najboljši je volovsko srce; drugače pa pelate)"; 2 čebuli; 2 stroka česna; 1 žlica olivnega olja; 2 žlici sladkorja;  "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"; nekaj "listov <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>";  <b>Blitvina priloga:</b>; 750 g blitve; 2 stroka česna;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; 2 žlici olivnega olja;  "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"]
20017,[ <b>Za enolončnico:</b>; 5 malo večjih krompirjev; 2 korenja; 1/2 skodelice paradižnikove omake; 1 malo manjši kos pora (jaz kupim narezane v Hofru na zelenjavnem oddelku); 1 pločevinka koruze; 2 para klobas za kuhanje ; 1 l jušne osnove ;  sol;  šetraj ;  kumina;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majaron</a>";  timijan; 1 žlica repičnega olja;  <b>Za žličnike:</b>; 2 jajci; 4 do 6 žlic moke]
20018,["1;5 kg  očiščenih sip; 3 stroki česna;  "šopek <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 1 dl črnega vina; 4 do 5 žlic olivnega olja]
20019,[300 g pšeničnega zdroba; 10 g masla;  voda;  sol;  ocvirki]
20020,[1 kg gladke moke; "7;5 dl  mleka; 12 dag margarine/masla;  sol;  sladkor ; 1 kocka kvasa; 1 jajce za mazanje]
20021,[1 večji brokoli; 1 srednje velika čebula; 1 korenček; 1 peteršiljeva korenina; 3 stroki česna; ščepec posušenega timijana; ščepec posušenega luštreka; 2 srednje velika krompirja; 2 dl sladke smetane;  sol; 1 dl kisle smetane;  za dlan velika koža od prekajene slanine; 1 jušna žlica svinjske masti; "1;5 l  vode;  sveže peteršiljevo listje]
20022,[2 kumari ; 4 "krompirji (2 velika; 2 srednja)"; polovica čebule; 1 jušna kocka;  mleta paprika;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"]
20023,[500 g "skute (lahke; pasirane)"; 1 mali lahki tekoči jogurt; 2 jabolki; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/9/banana/"">banana</a>"; 1 pest ovsenih kosmičev; 1 pest "<a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> (lističi)"; 1 pecilni prašek; 3 jajca; 1 merica vanilijevih proteinov;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimet</a> po okusu";  po želji lahko koščki temne čokolade]
20024,[ <b>Biskvit:</b>; 6 rumenjakov; 4 žlice sladkorja; 1/2 pecilnega praška; 2 žlici kakava; 2 žlici ostre moke;  sneg 6 beljakov;  <b>Nadev:</b>; 2 jajci; 150 g sladkorja; 1 dl mleka; 4 rebra čokolade (100 g); 250 g masla; 150 g mletih orehov; malo ruma - po želji; 4 "<a href=""https://www.kulinarika.net/recepti/zacimbe/9/banana/"">banane</a> - poiščemo čimbolj ravne"]
20025,[600 "do <span class=""label-inline"">700 g"; 100 g naribanega sira; 2 jajci; 2 stroka česna; 2 do 3 žlice drobtin; 2 "do <span class=""label-inline"">3 žlice";  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"]
20026,[280 g moke; 140 g masla; 100 g sladkorja v prahu; 1/4 pecilnega praška; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 2 rumenjaka; 5  jabolk; 50 g sladkorja; 1/2 žličke "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"; 2 žlici kisle smetane]
20027,[2 veliki čebuli;  mali strok česna; 2 veliki papriki; 2 manjša paradižnika; 100 g "slanine; pol para kranjske klobase"; 1 velika konzerva fižola ali 2 mali;  "začimbe (vegeta; sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majaron</a>; origano; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>:...)"]
20028,[3 srednje veliki krompirji; 3 stroki česna;  "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 800 g kuhanega kostanja; 1 dl mleka;  listki žajblja;  "vejica <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"]
20029,[20 dag moke; 5 dag sladkorja v prahu; 1 manjše jajce; pol pecilnega praška; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 12 dag margarine ali pol margarine in pol masla;  marmelada]
20030,[5 bučk; 3 "paprike (1 rumena; 1 rdeča; 1 <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a>)"; 3 paradižniki; 3 stroki česna;  "šop <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>";  čebula;  paradižnik v tubi;  olje;  sol]
20031,[ <b>Nadev:</b>;  piščančje prsi; ena bučka; 3 paradižniki;  por;  korenček;  listnato testo;  nariban sir;  sezam;  bučna semena]
20032,[25 dag moke; 1/2 pecilnega praška; 7 dag sladkorja v prahu; 12 dag margarine; 2 jajčna rumenjaka;  marmelada po potrebi; 2 žlici ruma; malo "vode; po potrebi";  jagodna aroma;  voda;  kristalni sladkor]
20033,[ <b>Čokoladni biskvit:</b>; 120 g margarine; 250 g jedilne čokolade; 50 g malin; 2 jajci; 100 g sladkorja; 150 g moke;  <b>Malinov nadev:</b>; 250 g malin; "2;5 dl  mleka; 150 g kokosa; 100 g sladkorja v prahu;  <b>Čokoladni preliv:</b>; 200 g jedilne čokolade; 4 jž sladke smetane]
20034,[20 dag moke; 5 dag sladkorja v prahu; 1 manjše jajce; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 1/2 pecilnega praška; "12;5 dag  margarine/masla; 1 žlica kakava;  "čokoladni namaz (Nutella:...)"]
20035,[500 g mlete govedine ali mešano ml. meso; 350 g krompirja; 2 manjši čebuli; 2 stroka česna; 2 jž moke; 1 jajce;  "sol; vegeta";  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; olje";  <b>Bešamel:</b>; 3 jž masla; 4 jž moke; "0;5 l  mleka; "0;2 l  smetane za kuhanje; 100 g "sira (gavda; edamec; trapist...)";  "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"]
20036,[ <b>Testo:</b>; 500 g moke; 1 vrečka suhega kvasa; 1 čajna žlička soli; 50 g sladkorja; 280 ml mlačnega mleka; 2 rumenjaka; 60 g masla sobne temperature; 1 zamašek ruma;  <b>Nadev:</b>; 500 g grobo zmletih bučnih semen; 200 g rjavega sladkorja; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 2 dl tople sladke smetane; 5-8 zamaškov ruma;  naribana lupina ene limone ; 1-2 čajni žlički "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> "; 2 beljaka (nestepena)]
20037,[ "domače črno grozdje (<span class=""label-inline"">3 kg";  "želirni sladkor (<span class=""label-inline"">3 kg";  limona;  gelfix;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> ekstrakt"]
20038,[ <b>Testo; </b>; 250 g moke; 1/2 vrečke pecilnega praška; 80 g sladkorja v prahu; 120 g masla; 1 rumenjak; 50 ml mleka; ščepec soli; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; malo nastrgane limonine lupine;  <b>Masa za krašenje:</b>; 1 beljak; 100 g sladkorja v prahu ; nekaj kapljic limoninega soka]
20039,[2 jajci; 1 "lonček (cup = ca. 2;5 dl) sladkorja"; malo "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> sladkorja"; 1/4 lončka olja; 1 lonček mleka; 1 lonček moke; 1 žlička pecilnega praška; 1/4 lončka kakava v prahu;  "čokoladna glazura; npr. temna čokolada in maslo";  po želji marelična marmelada]
20040,[ <b>Biskvit:</b>; 3 jajca; 9 žlic sladkorja; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 9 žlic olja; 9 žlic mleka; 9 žlic moke; 1 pecilni prašek; 5 žlic kakava;  <b>Ostalo:</b>; 2 vanilijeva pudinga; 7 dl mleka;  Albert keksi;  jedilna čokolada;  "Za navlažitev biskvita uporabimo mleko; sladkor; rum (po okusu)."]
20041,[150 g kuhanega fižola (zrnje); 70 g sardin iz konzerve; 1 manjša čebulica; 1  trdo kuhano jajce; 1  čajna žlička kaper iz slanice; 2 – 3  fileti inčunov iz olja; 1 – 2 žlici kisle smetane;  oljčno olje;  sol;  "sveže mleti <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"]
20043,[2 JŽ olivnega olja; 2 zrezka narezana na trakove (cca. 150 g) ; 100 g narezanega pora; 10 oliv brez koščic; 1 "manjša rumena paprika; narezana na trakove"; malo "korenčka in gomolja <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>; narezane na kocke"; 1 "JŽ domače ""vegete"""; malo "ČŽ mlete paprike; pol žličke kajenskega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> (odvisno od želje po pikantnosti)"; 1 "ČŽ posušene tajske <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>";  "cca. <span class=""label-inline"">2dl";  JŽ sojine omake; 200 g špagetov Shirataki brez OH]
20044,[ <b>Za čokoladni biskvit:</b>; 5 jajc ; 250 g pšenične moke ; 250 g sladkorja; 1 "zavojček <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> sladkorja"; 1 zavojček pecilnega praška; 1/2 čajne žličke sode bikarbone; ščepec soli; 1 dl vode; 1 dl sončničnega olja; 50 g temnega kakava v prahu;  po želji še kakšna žlica Nutelle; 2 dl čokoladnega mleka za vlaženje;  <b>Za cookies nadev:</b>; 500 g mascarponeja; 250 ml sladke smetane; 2 jedilni žlici sladkorja v prahu; 1 paket (približno 130 g) ameriških cookijev - lahko tudi domačih; 1 žlica mleka;  "kvaliteten <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> ekstrakt (npr. Dr. Oetker)";  <b>Za dekoracijo:</b>;  ostružki iz bele čokolade za dekoracijo;  čokoladne palčke za dekoracijo]
20045,[2 večja krompirja;  sol;  rožmarin;  maslo]
20046,[ <b>Biskvit:</b>; 200 g margarine; 8 jajc; 200 g sladkorja; 200 g čokolade v prahu; 4 velike žlice moke; 1 pecilni prašek; 1 dl mleka;  <b>Krema:</b>; 1 l sladke smetane ; 500 g jedilne čokolade]
20047,[ <b>Polnilo:</b>; 3 večja kuhana jabolka; 100 g sladkorja; 1/2 žličke "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>";  <b>Biskvit:</b>; 2 jajci; 50 g moke; 50 g sladkorja;  noževa konica pecilnega praška; 3 "listi želatine (<span class=""label-inline"">4;5 g"]
20048,[2 kumari; 1 grški jogurt Total ali 1 kisla smetana; 2 stroka česna; 1 jedilna žlica oljčnega olja; 1 jedilna žlica limoninega soka;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>";  koper (svež ali sušen)]
20049,[ <b>Krompirjevo testo:</b>; 1 kg krompirja; 400 g moke; 1 jajce; 1 čž masla;  sol;  <b>Mesni nadev:</b>; 250 g mlete govedine (ali mleto mešano meso); 1 srednja čebula ; 2 jušni žlici paradižnikove mezge;  "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>";  <b>Za paniranje:</b>;  jajca;  drobtine]
20051,[400 g polnozrnate pšenične moke; 100 g bele moke (lahko tudi 500 g PZ pšenične moke); 300 ml tople vode; 2 čajni žlički medu ali melase; 1 vrečka suhega kvasa; 100 g gorgonzole; 100 g mletih orehov; 1 čajna žlička soli]
20052,[25 g masla; "0;2 l  mleka; 100 g špinače; 250 g moke; 1 čž pecilnega praška; 1 čž sode bikarbone; 50 g parmezana; 1 jajce; 100 g nepasirane skute]
20053,[ <b>Za peko kruhovih skodelic:</b>; 250 g pšenične moke ; 250 g polnozrnate moke ; 1/2 "kocke kvasa (<span class=""label-inline"">21 g"; 1 žlička soli; 1/2 žličke sladkorja ; "2;5 dl  mleka ; 1 jedilna žlica stopljenega bio masla; 1 jajce;  <b>Za kuho gobove kremne juhe:</b>; 500 g mešanih gob (šampinjoni in jurčki); 2 jedilni žlici olivnega olja ; 2 stroka česna ; 1/2 čebule ;  timijan ;  "mleti <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> ";  sol; žlička masla; 2 jedilni žlici moke ; 500 ml zelenjavne jušne osnove ; 4 jedilne žlice kisle smetane;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"]
20054,[ meso iz juhe;  čebula;  česen;  olje;  kis;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>";  krompir]
20055,[1 "palamida (<span class=""label-inline"">1 kg"; 2 paradižnika; 1 paprika; 1/2 čebule; 3 stroki česna; 2 korenja; 2 feferona (nepekoča);  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; 4 krompirji;  olivno olje]
20056,[150 g prosene kaše; 1 l mleka;  čokoladni puding;  sladkor (2 žlici + 2 žlici); 100 g čokolade + tablica za okrasitev;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; ščepec soli; čajna žlička masla; 2-3 žlice ruma; 2 žlici kakava]
20057,[ <b>Čokoladno-piškotno testo (2 diska); </b>; 175 g jedilne čokolade; 115 g masla; 2 jajci; 90 g sladkorja; 50 g rjavega sladkorja; 20 g kakava v prahu; 40 g bele moke; 1 žlička pecilnega praška; 2 žlički "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> ekstrakta"; 1 ščepec soli; 110 g zdrobljenih pekan orehov; 100 g bele čokolade; 250 g mlečne čokolade;  <b>Victoria sponge biskvit:</b>; 2 jajci; 110 g sladkorja v prahu; 110 g moke; 1 pecilni prašek; 110 g masla sobne temperature;  <b>Bela pudingova krema; </b>; 1 l mleka; 1 "puding z okusom sladke smetane (lahko tudi <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a>)"; 60 g Gustina; 4 žlice sladkorja; 2 "želatini (<span class=""label-inline"">20 g"; 1 mascarpone;  <b>Čokoladna krema; </b>; 20 dag jedilne čokolade; 200 ml sladke smetane; 100 g mascarponeja;  prbl. polovica vrečke želatine fix;  stepena smetana za okras (po želji);  mleko (za navlažitev sponge biskvita)]
20058,[1 kg pekočih feferonov; 1-2 glavici česna; 2 žlici medu; 2 čajni žlički soli; 1/2 l sirotke (tudi če je feferonov več);  poljubne začimbe]
20059,[1 kg "feferonov (če so prepikantni; jih enostavno zredčite s papriko)"; 2 beli čebuli; 2 glavici česna; 1 žlica medu/sladkorja; 2 žlički soli; 1 žlica "mešanice origana; <a href=""https://www2.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a> in timijana"; 1 žlička "ingverja(pozor; je pikanten)"; 1 žlica "mešanice mletega črnega kardamoma; kumína oz. črne kumine (ne navadne naše kumine); koriandra; <a href=""https://www2.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"; 1 žlica tamarinda/lahko tudi paradižnik;  olivno olje]
20060,[500 g moke; 100 g sladkorja; "0;5 dl  mleka; 1 jajce; 100 g masla;  vaniljev sladkor v prahu]
20061,["0;4 l  mleka; 8 jž gustina; 8 jž sladkorja; 100 g margarine; 100 g sladkorja v prahu; 100 g kokosa; 100 g jedilne čokolade;  še nekaj kokosa za povaljati kroglice]
20062,[ <b>Dno:</b>;  pecilni prašek; 250 g moke; 125 g masla;  jajce; malo mineralne vode; žlica olja; pest sladkorja; ščep soli; 2 žlici kisle smetane;  <b>Jagodna krema:</b>; 250 g jagod;  jagodni puding; 3 žlice sladkorja;  <b>Krema iz bele čokolade:</b>; 200 g bele čokolade;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding"; 4 rumenjaki; 200 ml sladke smetane; 2 žlici kisle smetane;  vanilijeva aroma;  <b>Vanilijeva krema:</b>; 5 rumenjakov; 5 žlic sladkorja v prahu;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor";  "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding"; žlica moke; 5 dl mleka; 125 g masla]
20063,[125 g masla; 250 g moke; 100 g sladkorja; 200 ml mleka; 3 jajca; 2 kavni žlički pecilnega praška]
20064,[800 g bučk; 2 čebuli; 2 jajci; 6 žlic moke; 2 dl mleka; 200 g "topljivega sira (Tilzit; Mozzarela ipd.)";  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; žlička rdeče paprike]
20065,[1 čebula; 2 papriki; 1 paradižnik;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>";  "sol; kurkuma";  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; vegeta"; 4 jajca ali kisla smetana]
20066,[900 ml mleka; 400 g bele čokolade; 1/2 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> pudinga v prahu"; 1 smetanov puding v prahu; 400 g sladkorja; 400 - 600 ml "belega ruma (lahko nadomestimo s temnim; a bo liker prevzel okus po rumu in spremenil barvo; lahko tudi mešamo)"]
20067,[ <b>Biskvit:</b>; 12 jajc; 10 žlic sladkorja; 2 vanilijeva sladkorja;  naribana lupinica 2 limon; 200 g fino mletih bučnih semen;  <b>Krema:</b>; 250 g mascarpone sira; 360 g kisle smetane; 200 g sirnega namaza; 100 g sladke smetane; 1 kremfix; 3 vanilijevi sladkorji; 5 žlic sladkorja;  <b>Bučni krokant:</b>; 80 g sladkorja v prahu; 80-100 g celih bučnih semen]
20068,[200 g rezin slanine; 80 g gorgonzole; 150 g suhih sliv]
20069,[25 dag bučnega pireja; 60 dag moke; 5 dag stopljenega masla; 2 dl toplega mleka; 1 rumenjak; "1;5  suh kvas; žlička sladkorja;  sol; žlica sesekljanega rožmarina; 2 žlici "<a href=""https://www2.kulinarika.net/recepti/zacimbe/77/mak/"">makovih</a> semen"]
20070,["2;5 dl  vode; "2;5 dl  mleka; 4 zvrhane žlice ovsenih kosmičev; ščep soli;  sladkor po okusu;  kosem masla;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimet</a>; čokolada v prahu za posip"]
20071,[140 g sladkorja; 120 g margarine ali masla; 1 žlica arašidovega masla; 150 g čokolade za kuhanje ;  "+ dodatnih <span class=""label-inline"">70-100 g"; 2 žlici kakava v prahu; 100 g moke; 3 večja jajca; ščep soli]
20072,[ <b>. plast:</b>;  "<a href=""https://www2.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding iz vrečke";  mleko za pripravo pudinga (glej na embalažo); 1 "<a href=""https://www2.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor";  <b>.plast:</b>; 200 g navadnih piškotov/keksov ; 60 g "čokoladnih piškotov ali kosmičev (Nesquick:...)";  <b>. plast:</b>; 150 g mascarpone sirčka; 2 dl + 1 dl sladke smetane; 4 velike žlice kakijeve marmelade ali -->;  "(<span class=""label-inline"">2 velika";  <b>Preliv; </b>; 2 žlici kakijeve marmelade; 4 žlice vode; 1 žlička želatine]
20073,[ <b>Za biskvite  po 3x:</b>; 5 beljakov; 5 žlic sladkorja; 7 žlic mletih orehov; 4 žlice moke;  <b>Za jajčno kremo:</b>; 15 rumenjakov; 20 žlic sladkorja; 15 žlic moke; 1 l mleka; 300 g margarine; 300 g temne čokolade; 100 g bele čokolade; 250 g mletih orehov; 3 šlag pene + mleko]
20074,["0;5 kg  srednje velikih čebul; 250 g mlete govedine; 50 g riža ; 1 korenček;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>";  vegeta;  <b>Za prežganje:</b>;  olje;  moka;  rdeča mleta paprika]
