id,kolicin,sestavina
026,1 žlica,"masla ali <span class=""label-inline"">2 žlici"
026,10 dag,pšeniènega zdroba
026,1 žlica,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
026,1 liter,vrele slane vode ali vroèe vode z jušno kocko
026,1,jajce
026,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu "
026,1,nastrgan korenèek
027,2,"avokada; prerezana in poškropljena s sokom limone; da ne oksidira"
027,15 dag,kuhanih rakcev
027,10 dag,kuhanega graha
027,2,trdo kuhani jajci
027,l,"mandarina; olupljena in narezana na košèke"
027,2,veliki žlici majoneze
027,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
027,1 žlièka,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
027,,listi solate
028,1 kg,"kvalitetne govedine / pleèe; prsa ali flam"
028,1/,kg. jagnjetine
028,60 dag,krompirja
028,2,do 3 dag soli
028,15,"zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
028,3,liste lovorja
028,l,veèja èebula narezana na drobno
028,8,strokov èesna
028,2,"do 3 korenèke; narezane na kolobarje"
028,2 žlici,"narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
028,nekaj,"narezane <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>/5 dag"
028,15,nageljnovih žbic zavitih v gazo.
028,20 dag,narezanega paradižnika ali pa 2 žlici paradižnikove mezge
028,1 dl,dobrega belega vina 
029,,"l<span class=""label-inline"">5 dag"
029,,limonin sok
029,,kisle kumarice
029,,narezane ali zmlete
029,,dobro olje
029,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
029,,drobno narezana bela èebulica
029,,"žlicka drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
029,malo,"<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"
029,,majoneza
029,,sojina omaka
029,,tabasko omaka
029,,"sol po okusu ali pa zaèinka <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>"
029,malo,kisa ali suhega vina 
030,850 g,mletega mesa
030,850 g,pelatov ( velika konzerva )
030,850 g,rdeèega fižola ( velika konzerva )
030,2 dl,vode
030,žlica,olja
030,1 žlièka,soli
030,1/2 žlièke,"zmletega èrnega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
030,1 žlica,mlete indijske kumine ali navadne
030,1 žlièka,"cajenskega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> (mlet chilli)"
030,3,stroki èesna
030,,lovorjev list 
030,1 žlica,moke
030,1,rdeèa paprika 
030,1,avokado
030,1,srednja èebula
030,200 g,sira gauda
030,200 g,kisle smetane
031,,drobno mleto meso
031,,"zaèimbe (sol;<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; èesen...)"
031,,jajce
031,,moka
031,,olje
031,,èebula
031,,juha
031,,belo vino
031,,kisla smetana
031,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
032,50 dag,mehke govedine brez kosti
032,1,in pol žlièke sladkorja
032,2 žlici,sojine omake
032,1 žlica,hoisinove omake / dobi se pri nas v veèjih trgovinah/
032,2 žlici,suhega vina ali šerija
032,3,ali 4 stroki èesna
032,3 žlice,namiznega olja
033,30 dag,"mehke svinine;narezane na košèke"
033,20 dag,opranega riža
033,2 žlici,masti
033,1,"èebula; narezana na košèke"
033,2,veèja paradižnika narezana na rezine
033,2,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleni</a> papriki; narezani na rezine"
033,5 dag,"prekajene svinine; narezane na košèke"
033,3 žlice,kisle smetane
033,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu in potrebi"
033,1 žlica,rdeèe paprike 
034,2,pišèanèji bedri
034,2,srednje veliki èebuli
034,4,stroki èesna
034,1,jušna kocka
034,,olje
034,malo,vroèe vode
034,,"sol; zaèimbna mešanica; èesen v prahu (za zaèinitev mesa) "
035,1 kg,govejega boènika ali vratovine
035,1/2 kg,nalistane èebule
035,2 žlici,masti
035,2 dl,vode
035,,sol
035,žlica,moke
035,žlica,sladke zmlete paprike
035,žlica,kisa in sol
036,4,goveji zrezki
036,,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
036,2-3,stroki èesna
036,1,èebula
036,2,papriki
036,2,paradižnika
036,1,buèka
036,2 žlici,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
036,2 žlici,paradižnikove mezge
036,2 žlici,olja
037,80 dag,govejega mesa
037,4,"rezine svežega ali konzerviranega <a href=""https://www.kulinarika.net/recepti/zacimbe/4/ananas/"">ananasa</a>"
037,4 žlice,sojine ali worcesterske omake
037,1 žlièka,sladkorja
037,pol žlièke,soli
037,2 žlici,limoninega soka
037,pol žlièke,nastrganega ingverja
037,2 stroka,strtega èesna
037,1 žlica,olja
038,l kg,mehke govedine
038,2 dl,piva
038,l dl,olja
038,2 žlici,limoninega soka
038,2 stroka,strtega èesna
038,2,lista lovorja
038,pol žlièke,timijana v prahu
038,pol žlièke,origana v prahu
038,pol žlièke,"zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"
038,l,vejica rožmarina
038,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
038,l žlica,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
039,1/4,kuhanega ali peèenega mesa
039,5 dag,masti
039,2,èebuli
039,,sol
039,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
039,8,jajc
039,4 žlice,mleka
040,40 dag,mesa suhega bakalarja ali polenovke
040,4 dl,olivnega olja
040,l žlièka,èesnovega soka
040,,"sol in malo <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> po okusu"
040,1 žlièka,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
041,20,dateljev
041,10 dag,kakega dobrega pikantnega sira
042,,grapefruit
042,,majoneza
042,,ketchup
042,,vodka
043,,<b>Za 4-6 obrokov:</b>
043,8,jajc
043,,drobno sesekljana èebula
043,žlica,olja
043,žlica,curryjevega praška
043,357 ml,majoneze
043,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
043,,<b>Za riževo solato:</b>
043,200 g,riža
043,125 ml,vinaigrette
043,40 g,rozin
043,40 g,sesekljanih suhih marelic
043,75 g,grobo sesekljanih orehov
043,,šopek kreše (za okras)
043,,<b>Za omako vinaigrette:</b>
043,2 žlici,"kisa ali <span class=""label-inline"">1;5 žlice"
043,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
043,2 žlièki,"dijonske <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a> (po želji) "
043,6 žlic,olja
044,,kisle kumarice
044,,èebula
044,,sladka rdeèa paprika ( suha )
044,,sol
044,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "
044,,skuta
044,,smetana - sladka ali kisla
045,10,jajc
045,4 žlice,majoneze
045,1 žlica,limoninega soka
045,1,manjša nastrgana èebula
045,1 žlica,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
045,šèepec,"belega <a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
045,,sol po okusu
045,,"vejica <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> za okrasitev"
046,40,veèjih razkošèièenih oliv
046,10 dag,zmlete govedine
046,1,"pišèanèja jetra; narezana na drobno"
046,1 strok,strtega èesna
046,2 žlici,naribanega parmezana
046,1 žlica,olja
046,2 žlici,odišavljenih kruhovih drobtin (zmešanih z zaèimbami)
046,,"šcepec posušene zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali origana"
046,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
046,,"Za paniranje: moka ; stepeno jajce; kruhove drobtine in olje za cvrenje"
047,20,manjših paradižnikov
047,1 žlica,mašèobe
047,4,jajca
047,1 žlièka,zaèimbne mešanice
047,2 žlici,"narezane kreše; mete; krebuljice; <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>; suhe zaèimbe zdrobimo"
047,15 dag,naribanega sira
047,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
048,,<b>Za 10 oseb:</b>
048,10,"jajc;"
048,,"kumarice po želji;"
048,,"ketchup;"
048,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>;"
048,,"mleta rdeèa paprika;"
048,5 dag,sendviè klobase
048,8 dag,"sira edamca;"
048,1šèep,"soli;"
048,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>;"
048,4 dag,olja. 
049,20 dag,skute
049,10 dag,"kakega ostrega sira; naribanega na rezance"
049,1,"manjša èebula; naribana na rezance"
049,2 žlici,belega vina
049,2 žlici,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
049,malo,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
049,2 žlici,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>ženih in zdrobljenih <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> "
050,30 dag,sveže skute
050,2 dl,kisle smetane
050,1 žlièka,drobno narezanega ali zdrobljenega timijana
050,1 žlica,drobno narezanega drobnjaka
050,1 žlièka,drobno narezanega koprca
050,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
050,1,trdo kuhano jajce
052,2 dl,mleka
052,5 dag,masla
052,10 dag,pšeniènega zdroba
052,10 dag,skute
052,1,jajce
052,4 dag,pršuta
052,12 dag,rakovih repkov
052,8 dag,"<a href=""https://www.kulinarika.net/recepti/zacimbe/8/bambus/"">bambusovih</a> vršièkov"
052,1,sladka smetana
052,,"èesen; oljèno olje"
052,,sol
053,2 kg,suhega mesa brez kosti
053,2 žlici,medu
053,l žlièka,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
053,l žlièka,zdrobljenih nageljnovih žbic
053,3 žlice,sojine omake 
053,malo,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"
054,50 dag,moke
054,25 dag,margarine
054,3 dag,kvasa
054,1,žlièko soli
054,,"cca <span class=""label-inline"">3dcl"
054,,"sezam; kumina ali <a href=""https://www.kulinarika.net/recepti/zacimbe/77/mak/"">mak</a>"
054,,rumenjak za premaz
055,15,jajc
055,2,ploèevinki tune
055,2 žlici,majoneze
055,15 dag,masla
055,1 žlièka,drobno narezanega ali zdrobljenega timijana
055,1 žlièka,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
055,,par kapljic soka limone
055,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
056,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> solata"
056,,škampovi repki
056,,ketchup
056,,majoneza
056,,vodka
056,,"beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
056,,paradižnik
056,,kumare
056,,limona
056,,pomaranèa
057,200g,tunine v olivnem olju
057,6,veèjih vloženih kislih kumaric
057,1,manjša glava èebule
057,1 èajna žlièka,mlete paprike (nepekoèe)
057,"0;25l ,sladke smetane
057,4-5,velikih žlic majoneze
057,1 velika žlica,konjaka
057,,sol ali vegeta
058,30 dag,tenkih rezin lososa
058,30 dag,"francoske solate; lahko kupljene lahko jo naredimo sami "
058,5,listov solate
059,1/2 kg,mletega mesa
059,1,èebula
059,1 strok,èesna
059,1 kg,krompirja
059,1 dl,kisle smetane
059,2,jajci
059,,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
059,,mašèoba
059,,maslo
060,,So opisane v samem postopku.
061,,Mlada raca ali gos
061,,sol po okusu
061,,kumina
061,,kostanji oz. kisla jabolka
061,,maslo po okusu
062,približno,"<span class=""label-inline"">2 kg"
062,,"sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
062,1 žlica,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a> ali origana"
062,3,"veèja kisla jabolka;olupljena in narezana na drobno"
062,,skodela olupljenih in peèenih kostanjev
062,3 dl,vroèe vode
062,1 dl,piva
062,1 žlièka,zaèimbne mešanice
062,1 žlica,jedilnega škroba 
063,l kg,mesa
063,15 dag,prekajene slanine
063,,list lovorja
063,malo,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
063,,par suhih borovnic
063,2 žlici,masla
063,1 dl,belega vina
063,1 žlica,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
063,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
063,,olje za peèenje
064,600 g,mesnate slanine
064,600 g,sala
064,150 g,svinjskih jetrc
064,1/4 l,ledene vode
064,20 g,soli
064,"1;5 ,"jedilne žlice mletega belega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
064,1 èajna žlièka,pimenta
064,1 èajna žlièka,mlete kumine
064,1 èajna žlièka,nastrganega muškatnega orešèka
064,1,"jedilna žlica <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
064,1 strok,èesna in nastrgana lupina neškropljene limone
065,1 kg,"krompirja; olupljenega in narezanega na rezine"
065,3 žlice,mašèobe
065,2,"èebuli; narezani na drobno"
065,1 kg,"mletega mesa (pol svinjine; pol govedine)"
065,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
065,3,jajca
065,3 dl,kisle smetane
065,2 dl,mleka
065,nekaj,naribanega sira
066,4,"srednje velike svinjske kotlete zarežemo; da naredimo žepek"
066,2 žlici,skute
066,1 žlica,kisle smetane
066,1 žlica,"vloženega <a href=""https://www.kulinarika.net/recepti/zacimbe/44/hren/"">hrena</a>"
066,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
066,,maslo za peèenje
066,,moka za kotlete
067,,mlad zajec
067,,drobovina dotiènega zajca
067,,kruh
067,nekaj žlic,mleka
067,2,jajci
067,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
067,,sol
067,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
067,,èebula
067,,maslo
067,,paradižnik (ali mezga)
067,,Opcija - olive
068,,<b>Za 6-8 obrokov:</b>
068,"1;5 - 2 kg ,teleèjih prsi
068,2,trdo kuhani jajci zrezani na rezine
068,60 g,"kuhane; na tanke rezine narezane gnjati"
068,žlica,olja
068,30 g,surovega masla
068,,na èetrtinke narezana èebula
068,,na èetrtinke narezan korenèek
068,,"na velike kose narezano steblo belušne <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
068,250 ml,belega vina
068,1 l,teleèje osnove
068,,strt strok èesna
068,,bouquet garni
068,,<b>Za nadev:</b>
068,,drobno sesekljana èebula
068,30 g,surovega masla
068,500 g,zmlete puste teletine
068,60 g,svežih drobtin belega kruha
068,2,sesekljana stroka èesna
068,,naribana lupina limone
068,2 žlici,"sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
068,šèepec,muškata
068,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
068,2,razžvrkljani jajci 
069,1,"do <span class=""label-inline"">2 kg"
069,,sol ali kaka zaèimbna mešanica
069,3,"žemlje; na kocke narezane"
069,1 dl,mleka
069,1,"majhna šalotka; narezana na drobne košèke"
069,3 dag,prekajene slanine narezane na košèke
069,10,dag
069,,"šunke; narezane na košèke"
069,3,jajca
069,2 žlici,"drobno narezanega <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
069,1 žlica,smetane
069,,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
069,malo,zdrobljenega timijana
069,,maslo in mašèoba za peèenje
070,,I. Omleta
070,,¡ 2 jajci 
070,,"¡ <span class=""label-inline"">10 dag"
070,,"¡ <span class=""label-inline"">3/4 l"
070,,¡ noževo konico soli 
070,,¡ olje za peko 
070,,II. Omletni nadev
070,,¡ l5 dag pišèanèjih jeter 
070,,"¡ <span class=""label-inline"">5 dag"
070,,¡ srednje veliko èebulo 
070,,¡ nekaj vejic petršilja 
070,,"¡ <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> in sol "
070,,¡ žlico olja 
070,,III. Omletni preliv
070,,"¡ <span class=""label-inline"">2"
070,,"¡ <span class=""label-inline"">1 dl"
070,,je kuhala jušna zelenjava 
070,,¡ 1 dl kisle smetane 
070,,¡ jušno žlico drobno sesekljane jušne 
070,,zelenjave iz uporabljene juhe 
070,,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a> in èajna žlièka limonovega soka po okusu"
070,,¡ jušno žlico sesekljanega drobnjaka 
070,,IV. Krompirjeva slama
070,,"¡ <span class=""label-inline"">60 dag"
070,,¡ olje za cvrtje 
070,,¡ sol za posipanje 
071,,toast kruh
071,1/2kg,mortadele
071,1/2 kg,sira
071,2,lonèka kisle smetane
071,1-2,jajci
071,100 dkg,kumaric
071,2,fileta vložene paprike ali feferonov
071,20,oliv brez košèic 
071,3,šèepce origana oz. po okusu
072,,".<span class=""label-inline"">5 kg"
072,,".<span class=""label-inline"">5 dl"
072,3 žlice,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
072,,sol po potrebi
072,malo,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>; za marinado v zrnih"
072,3,jajca
