id,navodilo
20012,"Najprej pripravimo marinado. Na drobno nasekljamo èesen; baziliko; sestavini zalijemo z olivnim oljem in dobro premešamo. Nato dno pekaèa obložimo z 1 kg soli. Na sol pokonèno postavimo ribe in jih napolnimo z marinado. Robove spnemo z zobotrebci in ribe položimo na sol; eno zraven druge. Èez brancine položimo še dve rožmarinovi vejici za boljšo aromo. Stepeni sneg iz beljakov pomešamo s preostalim kg soli in ribe skrbno prekrijemo z vseh strani. Pekaè položimo v segreto peèico na 190 stopinj in brancine v soli peèemo 45 minut. Medtem skuhamo krompir. Skuhan krompir ohladimo; olupimo in narežemo na kose za solato. Na kuhalno plošèo pristavimo drugo posodo z vodo. Kipeèi vodi dodamo malo soli; malo sladkorja; košèek masla in vršièke ali cvetove divjih špargljev. Šparglje kuhamo le 5 minut; nakar jih precedimo in speremo s hladnim curkom vode. Vršièke špargljev pomešamo z narezanim krompirjem; dodamo malo soli; pooljimo z olivnim oljem in okisamo z limoninim sokom. Solata je nared. Brancine v soli že lahko vzamemo iz peèice. S kuharskim kladivom ali z nožem pozorno razbijemo ter odstranimo vrhnjo plast soli; ki se je zapekla. Brancine z lopatico poberemo iz pekaèa; jih oèistimo soli in po vrhu premažemo z malo olivnega olja; da se lepo zasvetijo."
20013,"Na delovno površino stresemo moko s soljo in v sredini naredimo vdolbinico. Vanjo zlijemo hladno vodo in zamesimo sestavine v gladko testo. Oblikovan hlebèek postavimo na hladno poèivati 20 minut. Nakar testo enakomerno razvaljamo z valjarjem; po vrhu položimo na tenko narezane plošèice hladnega masla eno zraven druge in testo preklopimo na 1/2. Na ta naèin prekrijemo plošèice masla. Testo ponovno razvaljamo z valjarjem. Razvaljano testo debeline kakšnega cm; zložimo in preklopimo na tretjine (glej sliko) in testo postavimo na hladno poèivati za še približno 20 minut. Postopek ponovimo še enkrat in po 20 minutah je testo pripravljeno za nadev in peko. V tem èasu se lotimo nadeva. V posodi zamešamo nastrgane buèke; olupljena in nastrgana krompirja; nastrgano èebulo; na drobno nasekljane stroke èesna in na drobno nasekljan peteršilj. V sestavine narahlo vmešamo še nepasirano skuto; kislo smetano z malo olivnega olja; sol; poper in na koncu še pšenièni zdrob. Testo vzamemo iz hladilnika; ga razdelimo na dva dela in vsakega posebej razvaljamo z valjarjem na manj kot 1 cm debeline. Na prvo polovico testa neenakomerno potresemo nadev. Robove testa z leve in desne strani za kakšen cm preklopimo; da ne bi nadev pri peki ušel ven in testo z nadevom zavijemo v zavitek; kot bi zavili palaèinko. Postopek ponovimo še pri drugi polovici in ju položimo v namašèen pekaè. Preden zavitka damo peèi; ju namažemo še z razžvrkljanim jajcem in prebodemo z vilicami; saj s tem prepreèimo; da se testo pri peki napihne. Peèico segrejemo na 200 stopinj in zavitka v pekaèu peèemo 30 do 40 minut."
20014,"Svinjska kotleta zadimimo na žaru in umaknemo; še preden se speèeta do konca. Narežemo  ju na kocke. Prav tako narežemo na kocke krompir in korenje. Na drobne kocke sesekljamo še šalotko. Na drobno nasekljamo še èesen in peteršilj. Šalotko prepražimo na olju; da ostekleni; potem pa dodamo krompir; korenje; poper; timijan; peteršilj; luštrek in ingver. Po dveh minutah praženja na moènem ognju dodamo še meso in nasekljan èesen ter vse skupaj še na kratko prepražimo. Potem zalijemo z 0;7 l vode; dodamo lovorjev list in paradižnikovo mezgo; ter kuhamo na malem ognju; dokler krompir in korenje nista skuhana. Iz juhe vzamemo lovor; juho pa na grobo (tako da se med zobmi še èuti košèke) spasiramo s paliènim mešalnikom. Serviranje: juho serviramo v globokih ogretih krožnikih. Ob serviranju v juho dodamo žlico kremaste kisle smetane ali grškega jogurta."
20015,"Ribico narežemo tako; da dobimo velik zrezek; katerega potolèemo ter solimo in popramo. Kuhinjsko desko obložimo s pršutom; nanj položimo ribico; na grobo naribano jabolko ter posipamo z na grobo naribanim parmezanom. Èe jabolko ni kislo; ga predhodno pokapamo z limoninim sokom. Tesno zvijemo v rulado (svetujem uporabo vrvice; da ob obraèanju nadev ne leze ven in da se ribica ne odpre). Na maslu ribico popeèemo iz obeh strani; približno 20 minut; dodamo žlièko moke ter postopoma dolivamo juho."
20016,"Za lešo oslièa: oslièa oèistimo in operemo. Èebulo; èesen oèistimo in èebulo na drobno sesekljamo. V lonec položimo cele oslièe; dodamo vodo; kis; èesen; èebulo in šopek peteršilja; sol in poper. Pustimo; da zavre; kuhamo približno 20 minut. Med kuhanjem s penovko odstranjujemo belo peno; ki se pojavlja na površini. Oslièe vzamemo iz vode; odstranimo hrbtno kost; fileje polijemo z olivnim oljem in shranimo na toplem. Tekoèino; ki nam je ostala; lahko zakuhamo z rižem in dobimo odlièno ribjo juho. Paradižnikova "šalša": ebulo; èesen in zeleno drobno sesekljamo. Paradižniku odstranimo kožo in na drobno sesekljamo. Na olju prepražimo èebulo; ko postekleni; dodamo èesen in paradižnik. Dodamo sladkor; sol in poper in zeleno. Zalijemo z vodo in kuhamo cca. 1 uro ali veè; tako; da je omaka lepo gosta. Omako lahko pripravimo tudi prej. Blitvina priloga: blitvo operemo in narežemo; ravno tako peteršilj in èesen. V loncu segrejemo vodo; ki smo ji dodali sol. V vrelo vodo dodamo blitvo in jo kuhamo; da je na ugriz rahlo al dente. Odcedimo in prestavimo v skledo. Na olivnem olju prepražimo èesen in peteršilj; da zadiši. S pripravkom zalijemo odcejeno blitvo; posolimo in popramo po potrebi. Postrežemo na naslednji naèin: na krožnik položimo filiranega oslièa; na file oslièa dodamo blitvo in vse skupaj zalijemo s "šalšo"."
20017,"Krompir in korenje olupimo in narežemo na kocke; por zrežemo na rezine. Na olju prepražimo por; dodamo narezan krompir in korenje; 1/2 ploèevinke koruze (lahko uporabimo tudi zmrznjeno); paradižnikovo omako. Zalijemo z jušno osnovo in pustimo kuhati cca. 20-25 minut. Odstavimo z ognja in s paliènim mešalnikom prepasiramo. Pristavimo zopet na ogenj; dodamo preostanek koruze in narezane klobase. Dodamo še kumino ter sveža zelišèa - šetraj; majaron in timijan (èe jih nimamo; uporabimo suha). Medtem pripravimo žliènike - jajca umešamo in jim dodajamo moko; da nastane homogena zmes; ne sme biti tekoèa. Z žlico naredimo žliènike in jih dodamo enolonènici. Vse skupaj kuhamo še približno 10 minut."
20018,"Sipe oèistimo in jih damo v nizko kozico. Nasekljamo èesen in peteršilj. 1/2 peteršilja in èesna potresemo po sipah; dodamo olivno olje in vino. Kozico pokrijemo in kuhamo/dušimo na zmernem ognju. Po cca. 20 minutah; odvisno od velikosti sip; posodo odkrijemo; da se sipe še malo zapeèejo. Potresemo z ostankom èesna in peteršilja. Osebno sip ne solim; ker so mi same po sebi dovolj slane; vendar lahko zaèinite po vašem okusu."
20019,"Vodo solimo in jo segrejemo do vrelišèa. Med tem v kozici raztopimo maslo; dodamo pšenièni zdrob in mešamo; da vmešamo vse maslo. Z zajemalko dodamo vodo in vmes mešamo; da dobimo konsistentne žgance; cca. 5 minut. Malo pustimo; da se na dnu posode žganci rahlo sprimejo in se naredi "kožica". Postrežemo z ocvirkovo zabelo."
20020,"Na kocko kvasa damo žlico sladkorja in 1;5 dl mlaènega mleka. Poèakamo deset minut; nato kvas z mlekom in sladkorjem zlijemo na moko. Sol damo ob rob posode; v kateri mesimo testo; da ne pride v stik s soljo. Dodamo še stopljeno margarino in zamesimo testo. Testo pokrijemo in poèakamo; da vzhaja. Približno eno uro. Nato naredimo kepice; približno 6-7 dag; in spet pustimo; da vzhaja. Nato iz vsake kepice naredimo približno 40 cm dolge palèke in jih zavijemo na trstiko. Poèakamo; da spet vzhaja. Pred peko jih namažemo z jajcem. Peèemo jih na 200 stopinjah približno 15 minut; oziroma dokler niso lepe zlate barve. Ko so peèene; trstiko potegnemo ven."
20021,"Brokoli operemo; odcedimo; narežemo na manjše košèke; steblo olupimo in narežemo na kockice. Krompir olupimo in narežemo na košèke; èesen; èebulo in peteršiljevo listje drobno sesekljamo; peteršiljevo korenino in korenèek olupimo in narežemo na kolobarje. Kožo dimljene slanine narežemo na drobne košèke. Kisli smetani dodamo 2 jušni žlici vode in dobro premešamo. V loncu stopimo svinjsko mast in na vreli masti pražimo košèke kože; da se napihnejo in postanejo hrustljavi. Poberemo jih iz lonca in pustimo na vpojnem papirju; da se odcedijo. Na isti mašèobi pražimo èebulo; korenèek in peteršilj. Ko èebula ovene; dodamo èesen in ko zadiši; dodamo brokoli in krompir. Zalijemo z vodo; dodamo timijan in luštrek. Premešamo in kuhamo na pol pokrito; dokler krompir ni kuhan. V tem èasu bo tudi brokoli mehak. Vsebino zmeljemo s paliènim mešalnikom; solimo; dodamo sladko smetano; premešamo in še enkrat zavremo. Juho nalijemo v krožnike in okrasimo s peteršiljevim listjem; kislo smetano in hrustljavèki kože od slanine."
20022,"Krompir in kumare operemo in olupimo. Po želji kumaram izdolbemo semenje; krompir narežemo na kocke; kumare naribamo na tanke rezine. Èebulo zrežemo na majhne kockice in jo prepražimo na olju; da spremeni barvo. Dodamo naribane kumare in prilijemo 1-2 dl vode ter dodamo jušno kocko. Istoèasno damo kuhati tudi krompir. Ko zavre; krompir pustimo vreti 20 minut; medtem ko kumare vrejo 10 minut. Proti koncu kumaram dodamo èajno žlièko rdeèe paprike v prahu in poper. Ko je krompir kuhan; ga odcedimo; damo pod curek mrzle vode in posolimo z 1-2 šèepcema soli. Kuhan krompir dodamo k že pripravljenim in zaèinjenim kumaram ter pretlaèimo in premešamo."
20023,"V posodo damo vse sestavine. Jabolka naribamo; banano razrežemo na male košèke. Vse skupaj dobro premešamo in damo v ogreto peèico na 170 stopinj za cca. 40 minut. Razrežemo in shranimo v hladilniku (cca. 3 dni)."
20024,"Biskvit: rumenjake stepemo s sladkorjem; dodamo kakav; moko s pecilnim praškom in rahlo vmešamo sneg beljakov. Peèemo na 180 stopinjah približno 10 minut (preverimo; saj je odvisno od peèice). Daljši strani biskvita rahlo zapognemo proti sredini (skupaj s peki papirjem) in ohladimo. Nadev: zmešamo jajci in sladkor; dodamo mleko in nalomljeno èokolado ter kuhamo nad soparo - toliko èasa; da se zaène krema ob robu posode gostiti; približno 20 minut. Èe želimo; dodamo malo ruma. Ohladimo. V ohlajeno kremo z mešalnikom vmešamo maslo (sobna temperatura) in mlete orehe. Konèna izdelava: biskvitu odstranimo peki papir in nanj namažemo kremo (èisto malo jo prihranimo za vrhnji premaz).Po dolžini položimo banane - po dve na vsako daljšo stran biskvita.Biskvit skupaj s kremo in èez banane prepognemo proti sredini.Dobro ohladimo - najbolje èez noè."
20025,"Ohrovt narežemo na èetrtine in ga kuhamo15 minut v soljeni; vreli vodi. Potem ga odcedimo; ohladimo; odrežemo sredinski trdi del; ga stisnemo; da ni preveè mokro in ga drobno sesekljamo. Dodamo jajci; nariban sir (po želji tudi malo parmezana); èesen; moko in drobtine. Solimo po okusu in popramo. Vse skupaj dobro premešamo in oblikujemo polpete. V pekaè; obložen s peki papirjem; položimo polpete. V peèici jih peèemo 40 - 45 minut. Po 25 minutah jih obrnemo in speèemo do konca na 200 stopinjah. Polpete lahko ocvremo tudi v olju."              
20026,"Testo: moko in sladkor v prahu presejemo; dodamo rumenjak; vanilijev sladkor; pecilni prašek. Maslo stopimo v vodni kopeli. Z mešalnikom zamesimo testo; maslo vlivamo postopoma; smetano dodamo na koncu. Nadev: jabolka olupimo; izrežemo peèke in jih naribamo. Z roko iztisnemo sok; dodamo sladkor in cimet ter pomešamo. V okrogli model za sadne torte položimo 2/3 testa. Nanj razporedimo nadev. Iz preostalega testa oblikujemo drobne svaljke in jih oblikujemo v mrežo po površini jabolènega nadeva. Peèemo na spodnjem nivoju peèice 30 minut pri 180 stopinjah."
20027,"Sesekljamo èebulo; papriko; èesen in paradižnik. Najprej prepražimo èebulo; nato dodamo papriko in paradižnik; na koncu še èesen. Dodamo na kocke narezano slanino in klobaso ter pražimo 5 minut. Nato dodamo fižol in polovico soka od fižole ter zaèimbe. Jed kuhamo še 15-20 minut; nato postrežemo."
20028,"Polovico kuhanega kostanja povsem zdrobimo; preostala polovica naj ostane v košèkih. Krompir narežemo na kocke; ga damo v vodo; da je komaj pokrit; dodamo še zdrobljen kostanj; èesen; sol in poper ter damo kuhat. Ko zavre; dolijemo mleko; dodamo štiri ali pet listièev žajblja in majaron ter kuhamo; da se krompir povsem zmehèa. Med kuhanjem po okusu solimo in popramo. Ko je krompir kuhan; juho s paliènim mešalnikom zmeljemo; da je kremasta (z žajbljem vred). Èe se bojimo; da bo preredka; del tekoèine pred mletjem odlijemo in jo prihranimo. Kremasto zmes damo nazaj  v posodo in znova na ogenj; po potrebi dodamo še nekaj tekoèine; v kateri sta se kuhala krompir in kostanj. Dodamo preostali kostanj - prihranimo ga toliko žlic; kolikor bomo imeli krožnikov - in še malo kuhamo; po želji lahko dodamo še malo soli in popra. Juha naj bo gosta. Nalijemo jo v krožnike; na sredo damo žlico zdrobljenega kostanja in okrasimo z listièi žajblja (lahko jih tudi sesekljamo)."
20029,"Moko; pecilni prašek in sladkor v prahu presejemo v posodo. Dodamo margarino; jajce in vanilijev sladkor. Vse sestavine pregnetemo; da dobimo testo. Nato testo shranimo za vsaj pol ure v hladilnik. Testo razvaljamo na 2 mm debelo in z raznimi modelèki izrežemo piškotke. Na 170-175 stopinjah jih peèemo toliko èasa; da spodnji del zaène postajati zlate barve.""Ko se ohladijo; jih zlepimo z marmelado."
20030,"Buèke narežemo na kocke; lahko jih olupimo; lahko ne; po želji (jaz jih malo olupim; malo pustim cele). Paprike oèištimo semen in jih prav tako narežemo na kocke. Cele paradižnike damo v krop kuhati za prb. 5 minut; da se kožica malo olupi; nato jih vzamemo ven; olupimo in narežemo na košèke. Sesekljamo èebulo na tanke košèke; prav tako èesen in peteršilj. Na olju zarumenimo èebulo; dodamo èesen in peteršilj. Ko èesen zadiši; dodamo paprike; pustimo prb. 10 minut; da se duši s pokrito pokrovko (obèasno premešamo). Nato dodamo buèke; premešamo in prav tako pustimo dušiti nekaj èasa; nato dodamo še paradižnik. Solimo in èez nekaj èasa dodamo paradižnik v tubi. Nato kuhamo prb. 30 minut;  dokler se buèke ne zmehèajo in olje stopi na vrh."
20031,"Na olju ali maslu popražimo na majhne košèke narezano pišèanèje meso; por; buèko; korenèek in paradižnik. Zaèinimo po okusu (sol; poper; rdeèa paprika; bazilika; drobnjak; muškatni orešèek). Med praženjem malo po malo dodajamo vodo; da nastane v masi gosta omaka. Vzamemo s štedilnika in poèakamo; da se ohladi. Medtem pripravimo listnato testo. Malce ga raztegnemo; da ni predebelo; ko se zapeèe in ga narežemo na malo veèje kvadrate; cca. 15 cm na stranico. Ko je nadev popolnoma ohlajen; damo v vsak kvadrat 2-3 žlice (oz. po obèutku) nadeva in potresemo z naribanim sirom. Testo zložimo kot kuverto in damo na pekaè s papirjem za peko. Posujemo s sezamom in buènimi semeni; damo v peèico in peèemo 15-20 minut na 180 stopinjah v ventilacijski peèici; oz. dokler navihanèki ne postanejo zlato rjave barve."
20032,"Iz vseh sestavin sestavimo testo. Oblikujemo majhne kroglice premera 1 cm. Peèemo na 170 stopinjah 15-20 minut. Hladnim kroglicam izdolbemo sredino. V izdolbeno maso damo marmelado; rum in malo vode. Vse zmešamo in napolnimo kroglice. Po dve kroglici zlepimo skupaj. Jagodno aromo razredèimo z vodo in vsako breskvico namoèimo v njej. Nato povaljamo v sladkorju in pustimo; da se vse sestavine povežejo med seboj."
20033,"Na šibkem ognju stopimo èokolado; margarino in maline. Odstavimo in ohladimo na sobno temperaturo. Jajca in sladkor zmešamo; dodamo èokoladno; ohlajeno maso in še mešamo. Ko se èokoladna masa zedini z jajèno maso; poèasi dodajamo moko. Maso zlijemo v tortni model (28 cm) in peèemo 30 minut v predhodno ogreti peèici na 160 stopinj. Ko se èokoladni biskvit peèe; zmešamo maline; mleko; kokos in sladkor v prahu. Po peèenem biskvitu polijemo kokosovo - malinovo mešanico in vrnemo v peèico za 25-30 minut. Peèeno torto ohladimo. Stopimo èokolado in sladko smetano ter polijemo po ohlajeni torti. Postavimo v hladilnik za 2 uri. Okrasimo po želji in trenutnem navdihu."
20034,"Iz moke; sladkorja; jajca; margarine/masla; pecilnega praška; vanilijevega sladkorja zamesimo gladko testo. Testo razdelimo na dva enaka dela. V polovico damo žlico kakava. Testo razvaljamo na 1 mm debelo in ga izrežemo z modelèkom za piškote. To storimo še z drugo polovico testa. Peèemo na 170 - 175 stopinjah. Nato piškote zlepimo skupaj."
20035,"Èebulo in krompir naribamo; èesen stisnemo in dodamo mletemu mesu. Dodamo razžvrkljano jajce; moko in zaèimbe. Maso dobro premešamo in oblikujemo mesne kroglice. Kroglice popeèemo na olju. Segrejemo maslo; dodamo moko in mešamo; da ni grudic. Prilijemo mleko in smetano za kuhanje; solimo in popramo. Mesne kroglice zložimo v pekaè eno zraven druge; polijemo z bešamel omako in posujemo z naribanim sirom po vrhu. Pokrijemo z alu folijo in damo v ogreto peèico na 220 stopinj za 30 minut. Po 30 minutah odstranimo alu folijo in peèemo še 15 minut. Serviramo s prilogo po želji in obvezno zeleno solato."
20036,"Iz navedenih sestavin ugnetemo voljno testo; ki naj pokrito vzhaja na dvojni volumen. Medtem zmešamo sestavine za nadev. Sladko smetano dodajamo postopoma; da dosežemo željeno gostoto nadeva; ki mora biti primerno mazav. Vzhajano testo razvaljamo na pomokani krpi cca. 1/2 cm na debelo in ga namažemo z nadevom. Potico kar se da trdno zvijemo in prestavimo v z maslom namazan in pomokan pekaè. Precej na gosto prebodemo s pletilko do dna; potlaèimo z roko in ponovno prebodemo do dna. Pokrito s PVC folijo naj vzhaja samo za 1/3 volumna. Nato potico previdno; brez tresljajev; postavimo v HLADNO peèico; ki jo vklopimo na 190 stopinj brez ventilacije in peèemo 60 minut. Po 15 minutah peke jo pokrijemo z alu - folijo. Peèena potica naj v pekaèu ostane še 10-15 minut."
20037,"Grozdje oèistimo ter damo v velik lonec. Po potrebi dolijemo malo vode in poèasi segrevamo do vretja. Pazimo; da se ne prismodi. Vsake toliko premešamo in skozi cedilo odlivamo odveèno vodo; ki jo shranimo za kasneje. Ko se grozdje razpusti; ga z zajemalko iz lonca nadevamo v cedilo. Na dnu lonca se nabere veèina peèk; ki jih precedimo in zavržemo. Grozdno kašo vrnemo v lonec in dodamo želirni sladkor v razmerju 1:1. Premešamo in s paliènim mešalnikom maso malce pretlaèimo. Po okusu dodamo limonin sok in vanilijev ekstrakt. Lahko tudi vinski liker ali rum. Kuhamo še cca. 10 minut in neprestano mešamo; da se ne prismodi. Èe se nam zdi zmes preredka; dodamo sredstvo za strjevanje (želin; gelfix...). Takoj ko prenehamo s kuho; marmelado nadevamo v steklene kozarce za ozimnico in pasteriziramo. Iz grozdnega soka; ki nam je ostal; lahko naredimo sirup za razredèit."
20038,"Iz vseh navedenih sestavin zgnetemo gladko testo. Za pol ure ga pustimo poèivati v hladilniku. Testo razvaljamo na do 5 mm debelo in iz njega izrežemo kroge premera 5 cm ter jih sproti polagamo na peki papir v pekaè. Na vsak krog; na sredino; damo malenkost marmelade. Iz preostalega testa oblikujemo kroglice v velikosti lešnika in jih polagamo na sredino že izrezanih krogcev (na marmelado; da se lepo prilepi). Peèemo 15 minut na 175 - 180 stopinj. Beljak; sladkor in limonin sok stepemo; da se zgosti. Poljubno lahko dodamo barvilo in nato z vreèko za dekoriranje narišemo pentljice; ki jim na koncu lahko dodamo še biserèke."
