id, [kolicina; sestavina]
017, [6 dl; dobrega rdeèega vina; 2 dl; vode; šèepec; "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"; 2; nageljnovi žbici; ; limonina lupina; 1 žlica; sladkorja; 1 žlica; masla; 1 žlica; moke; 2; rumenjaka; ; sol po okusu]
018, [4; "stebla pora; oprana in narezana na kolobarèke"; 2; mladi èebuli narezani na kolobarèke; 2 žlici; masla; 8 dl; kokošje juhe iz kocke; 4; "veèji krompirji; olupljeni in narezani na kocke"; 1; skodela kisle smetane; 1 žlica; nasekljanega drobnjaka; ; "sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
019, [1 kg; teletine s kostjo; 3l; vode; 1; èebula narezana na èetrtine; 4; stroki strtega èesna; nekaj; "zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; ; sol po okusu; ; list lovorja; šèepec; timijana; l žlica; moke; 3; "veèji krompirji; narezani na kose"; 2 žlici; kisa; l žlica; kisle smetane; ; po želji eno jajce; žlica; "drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"]
020, [30 dag; narezanega zelja; 1; sesekljana èebula; 30 dag; mehke govedine; 1 liter; vode; 1; "korenèek; narezan na kolobarje"; 2 žlici; limoninega soka; 1 žlica; rjavega sladkorja; 1 žlica; moke; 1 žlica; olja; 1; jušna kocka; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
021, [1; manjša cvetaèa; 1; drobno sesekljana èebula; 1 strok; strtega èesna; 1 žlica; masla; 1l; kokošje juhe ali juhe iz kocke; 2 žlici; sladke smetane; 1 žlica; "drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 2; "rezini popeèenega toasta; narezanega na kocke"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
022, [30 dag; "buèk; olupljenih in narezanih na košèke"; 1 žlica; olja; 2; olupljena in narezana paradižnika; 2; "papriki; narezani na rezine"; 1; drobno sesekljana èebula; 1 žlica; "drobno nasekljane <a href=""https://www.kulinarika.net/recepti/zacimbe/81/melisa/"">melise</a>"; 1 žlica; "drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 1; jajce; 1 žlica; kisle smetane; 1 žlica; kisa ali limoninega soka; 1 l; vode ali juhe iz kocke; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
023, [60 dag; govejega boènika ali kakega drugega kosa mesa; 30 dag; svinine / ni nujno /; 30 dag; divjaèinskega mesa; 4; "veèji èebuli; narezani na drobno"; 2 stroka; strtega èesna; ; o dag olupljenega in na veèje kose narezanega krompirja; 1; feferon ali malo pekoèe paprike; 1; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleno</a> in 1 rdeèo papriko; narezano na rezine"; ; po želji lahko nekaj narezanih gob; 3 žlice; olja; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1 žlica; rdeèe paprike; ; šcepec timijana; malo; pimenta; ; list lovorja; ; šcepec mlete kumine; 3 dl; belega vina]
024, [40 dag; krompirja; 20 dag; olupljenih èebulic; 30 dag; "pora; narezanega na kolobarje"; 30 dag; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>; narezane na rezine (primernejša je stebelna <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a>)"; 3 žlice; masla; 3; lovorovi listi; 1 žlica; timijana; 50 dag; "pišèanèjih jeter; narezanih na košèke"; 1 žlica; "drobno sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 2 litra; vode ali juhe; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
025, [20 dag; zmlete svinjine; 1 žlica; sesekljane bele èebule; 1 žlièka; pekoèe rdeèe paprike; 1; "drobno narezana <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika"; 1 žlica; masla; 1 žlica; moke; 8 dl; juhe iz kock; 3; "sveži paradižniki ali paradižniki iz ploèevinke; olupljeni in narezani na košèke"; 1; skodela kuhanega riža; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
026, [1 žlica; "masla ali <span class=""label-inline"">2 žlici"; 10 dag; pšeniènega zdroba; 1 žlica; "drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 1 liter; vrele slane vode ali vroèe vode z jušno kocko; 1; jajce; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu "; 1; nastrgan korenèek]
027, [2; "avokada; prerezana in poškropljena s sokom limone; da ne oksidira"; 15 dag; kuhanih rakcev; 10 dag; kuhanega graha; 2; trdo kuhani jajci; l; "mandarina; olupljena in narezana na košèke"; 2; veliki žlici majoneze; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1 žlièka; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"; ; listi solate]
028, [1 kg; "kvalitetne govedine / pleèe; prsa ali flam"; 1/; kg. jagnjetine; 60 dag; krompirja; 2; do 3 dag soli; 15; "zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; 3; liste lovorja; l; veèja èebula narezana na drobno; 8; strokov èesna; 2; "do 3 korenèke; narezane na kolobarje"; 2 žlici; "narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; nekaj; "narezane <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>/5 dag"; 15; nageljnovih žbic zavitih v gazo.; 20 dag; narezanega paradižnika ali pa 2 žlici paradižnikove mezge; 1 dl; dobrega belega vina ]
029, [; "l<span class=""label-inline"">5 dag"; ; limonin sok; ; kisle kumarice; ; narezane ali zmlete; ; dobro olje; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; ; drobno narezana bela èebulica; ; "žlicka drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; malo; "<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"; ; majoneza; ; sojina omaka; ; tabasko omaka; ; "sol po okusu ali pa zaèinka <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>"; malo; kisa ali suhega vina ]
030, [850 g; mletega mesa; 850 g; pelatov ( velika konzerva ); 850 g; rdeèega fižola ( velika konzerva ); 2 dl; vode; žlica; olja; 1 žlièka; soli; 1/2 žlièke; "zmletega èrnega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; 1 žlica; mlete indijske kumine ali navadne; 1 žlièka; "cajenskega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> (mlet chilli)"; 3; stroki èesna; ; lovorjev list ; 1 žlica; moke; 1; rdeèa paprika ; 1; avokado; 1; srednja èebula; 200 g; sira gauda; 200 g; kisle smetane]
031, [; drobno mleto meso; ; "zaèimbe (sol;<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; èesen...)"; ; jajce; ; moka; ; olje; ; èebula; ; juha; ; belo vino; ; kisla smetana; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"]
032, [50 dag; mehke govedine brez kosti; 1; in pol žlièke sladkorja; 2 žlici; sojine omake; 1 žlica; hoisinove omake / dobi se pri nas v veèjih trgovinah/; 2 žlici; suhega vina ali šerija; 3; ali 4 stroki èesna; 3 žlice; namiznega olja]
033, [30 dag; "mehke svinine;narezane na košèke"; 20 dag; opranega riža; 2 žlici; masti; 1; "èebula; narezana na košèke"; 2; veèja paradižnika narezana na rezine; 2; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleni</a> papriki; narezani na rezine"; 5 dag; "prekajene svinine; narezane na košèke"; 3 žlice; kisle smetane; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu in potrebi"; 1 žlica; rdeèe paprike ]
034, [2; pišèanèji bedri; 2; srednje veliki èebuli; 4; stroki èesna; 1; jušna kocka; ; olje; malo; vroèe vode; ; "sol; zaèimbna mešanica; èesen v prahu (za zaèinitev mesa) "]
035, [1 kg; govejega boènika ali vratovine; 1/2 kg; nalistane èebule; 2 žlici; masti; 2 dl; vode; ; sol; žlica; moke; žlica; sladke zmlete paprike; žlica; kisa in sol]
036, [4; goveji zrezki; ; "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 2-3; stroki èesna; 1; èebula; 2; papriki; 2; paradižnika; 1; buèka; 2 žlici; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"; 2 žlici; paradižnikove mezge; 2 žlici; olja]
037, [80 dag; govejega mesa; 4; "rezine svežega ali konzerviranega <a href=""https://www.kulinarika.net/recepti/zacimbe/4/ananas/"">ananasa</a>"; 4 žlice; sojine ali worcesterske omake; 1 žlièka; sladkorja; pol žlièke; soli; 2 žlici; limoninega soka; pol žlièke; nastrganega ingverja; 2 stroka; strtega èesna; 1 žlica; olja]
038, [l kg; mehke govedine; 2 dl; piva; l dl; olja; 2 žlici; limoninega soka; 2 stroka; strtega èesna; 2; lista lovorja; pol žlièke; timijana v prahu; pol žlièke; origana v prahu; pol žlièke; "zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"; l; vejica rožmarina; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; l žlica; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"]
039, [1/4; kuhanega ali peèenega mesa; 5 dag; masti; 2; èebuli; ; sol; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 8; jajc; 4 žlice; mleka]
040, [40 dag; mesa suhega bakalarja ali polenovke; 4 dl; olivnega olja; l žlièka; èesnovega soka; ; "sol in malo <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> po okusu"; 1 žlièka; "drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"]
041, [20; dateljev; 10 dag; kakega dobrega pikantnega sira]
042, [; grapefruit; ; majoneza; ; ketchup; ; vodka]
043, [; <b>Za 4-6 obrokov:</b>; 8; jajc; ; drobno sesekljana èebula; žlica; olja; žlica; curryjevega praška; 357 ml; majoneze; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; ; <b>Za riževo solato:</b>; 200 g; riža; 125 ml; vinaigrette; 40 g; rozin; 40 g; sesekljanih suhih marelic; 75 g; grobo sesekljanih orehov; ; šopek kreše (za okras); ; <b>Za omako vinaigrette:</b>; 2 žlici; "kisa ali <span class=""label-inline"">1;5 žlice"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 2 žlièki; "dijonske <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a> (po želji) "; 6 žlic; olja]
044, [; kisle kumarice; ; èebula; ; sladka rdeèa paprika ( suha ); ; sol; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "; ; skuta; ; smetana - sladka ali kisla]
045, [10; jajc; 4 žlice; majoneze; 1 žlica; limoninega soka; 1; manjša nastrgana èebula; 1 žlica; "<a href=""https://www2.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"; šèepec; "belega <a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; ; sol po okusu; ; "vejica <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> za okrasitev"]
046, [40; veèjih razkošèièenih oliv; 10 dag; zmlete govedine; 1; "pišèanèja jetra; narezana na drobno"; 1 strok; strtega èesna; 2 žlici; naribanega parmezana; 1 žlica; olja; 2 žlici; odišavljenih kruhovih drobtin (zmešanih z zaèimbami); ; "šcepec posušene zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali origana"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; ; "Za paniranje: moka ; stepeno jajce; kruhove drobtine in olje za cvrenje"]
047, [20; manjših paradižnikov; 1 žlica; mašèobe; 4; jajca; 1 žlièka; zaèimbne mešanice; 2 žlici; "narezane kreše; mete; krebuljice; <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>; suhe zaèimbe zdrobimo"; 15 dag; naribanega sira; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
048, [; <b>Za 10 oseb:</b>; 10; "jajc;"; ; "kumarice po želji;"; ; "ketchup;"; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>;"; ; "mleta rdeèa paprika;"; 5 dag; sendviè klobase; 8 dag; "sira edamca;"; 1šèep; "soli;"; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>;"; 4 dag; olja. ]
049, [20 dag; skute; 10 dag; "kakega ostrega sira; naribanega na rezance"; 1; "manjša èebula; naribana na rezance"; 2 žlici; belega vina; 2 žlici; "drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; malo; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; 2 žlici; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>ženih in zdrobljenih <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> "]
050, [30 dag; sveže skute; 2 dl; kisle smetane; 1 žlièka; drobno narezanega ali zdrobljenega timijana; 1 žlica; drobno narezanega drobnjaka; 1 žlièka; drobno narezanega koprca; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1; trdo kuhano jajce]
052, [2 dl; mleka; 5 dag; masla; 10 dag; pšeniènega zdroba; 10 dag; skute; 1; jajce; 4 dag; pršuta; 12 dag; rakovih repkov; 8 dag; "<a href=""https://www.kulinarika.net/recepti/zacimbe/8/bambus/"">bambusovih</a> vršièkov"; 1; sladka smetana; ; "èesen; oljèno olje"; ; sol]
053, [2 kg; suhega mesa brez kosti; 2 žlici; medu; l žlièka; "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"; l žlièka; zdrobljenih nageljnovih žbic; 3 žlice; sojine omake ; malo; "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"]
054, [50 dag; moke; 25 dag; margarine; 3 dag; kvasa; 1; žlièko soli; ; "cca <span class=""label-inline"">3dcl"; ; "sezam; kumina ali <a href=""https://www.kulinarika.net/recepti/zacimbe/77/mak/"">mak</a>"; ; rumenjak za premaz]
055, [15; jajc; 2; ploèevinki tune; 2 žlici; majoneze; 15 dag; masla; 1 žlièka; drobno narezanega ali zdrobljenega timijana; 1 žlièka; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"; ; par kapljic soka limone; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
056, [; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> solata"; ; škampovi repki; ; ketchup; ; majoneza; ; vodka; ; "beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; ; paradižnik; ; kumare; ; limona; ; pomaranèa]
057, [200g; tunine v olivnem olju; 6; veèjih vloženih kislih kumaric; 1; manjša glava èebule; 1 èajna žlièka; mlete paprike (nepekoèe); "0;25l ; sladke smetane; 4-5; velikih žlic majoneze; 1 velika žlica; konjaka; ; sol ali vegeta]
058, [30 dag; tenkih rezin lososa; 30 dag; "francoske solate; lahko kupljene lahko jo naredimo sami "; 5; listov solate]
059, [1/2 kg; mletega mesa; 1; èebula; 1 strok; èesna; 1 kg; krompirja; 1 dl; kisle smetane; 2; jajci; ; "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; ; mašèoba; ; maslo]
060, [; So opisane v samem postopku.]
061, [; Mlada raca ali gos; ; sol po okusu; ; kumina; ; kostanji oz. kisla jabolka; ; maslo po okusu]
062, [približno; "<span class=""label-inline"">2 kg"; ; "sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1 žlica; "<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a> ali origana"; 3; "veèja kisla jabolka;olupljena in narezana na drobno"; ; skodela olupljenih in peèenih kostanjev; 3 dl; vroèe vode; 1 dl; piva; 1 žlièka; zaèimbne mešanice; 1 žlica; jedilnega škroba ]
063, [l kg; mesa; 15 dag; prekajene slanine; ; list lovorja; malo; "<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"; ; par suhih borovnic; 2 žlici; masla; 1 dl; belega vina; 1 žlica; "<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; ; olje za peèenje]
064, [600 g; mesnate slanine; 600 g; sala; 150 g; svinjskih jetrc; 1/4 l; ledene vode; 20 g; soli; "1;5 ; "jedilne žlice mletega belega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; 1 èajna žlièka; pimenta; 1 èajna žlièka; mlete kumine; 1 èajna žlièka; nastrganega muškatnega orešèka; 1; "jedilna žlica <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"; 1 strok; èesna in nastrgana lupina neškropljene limone]
065, [1 kg; "krompirja; olupljenega in narezanega na rezine"; 3 žlice; mašèobe; 2; "èebuli; narezani na drobno"; 1 kg; "mletega mesa (pol svinjine; pol govedine)"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 3; jajca; 3 dl; kisle smetane; 2 dl; mleka; nekaj; naribanega sira]
066, [4; "srednje velike svinjske kotlete zarežemo; da naredimo žepek"; 2 žlici; skute; 1 žlica; kisle smetane; 1 žlica; "vloženega <a href=""https://www.kulinarika.net/recepti/zacimbe/44/hren/"">hrena</a>"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; ; maslo za peèenje; ; moka za kotlete]
067, [; mlad zajec; ; drobovina dotiènega zajca; ; kruh; nekaj žlic; mleka; 2; jajci; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; ; sol; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; ; èebula; ; maslo; ; paradižnik (ali mezga); ; Opcija - olive]
068, [; <b>Za 6-8 obrokov:</b>; "1;5 - 2 kg ; teleèjih prsi; 2; trdo kuhani jajci zrezani na rezine; 60 g; "kuhane; na tanke rezine narezane gnjati"; žlica; olja; 30 g; surovega masla; ; na èetrtinke narezana èebula; ; na èetrtinke narezan korenèek; ; "na velike kose narezano steblo belušne <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"; 250 ml; belega vina; 1 l; teleèje osnove; ; strt strok èesna; ; bouquet garni; ; <b>Za nadev:</b>; ; drobno sesekljana èebula; 30 g; surovega masla; 500 g; zmlete puste teletine; 60 g; svežih drobtin belega kruha; 2; sesekljana stroka èesna; ; naribana lupina limone; 2 žlici; "sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; šèepec; muškata; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 2; razžvrkljani jajci ]
069, [1; "do <span class=""label-inline"">2 kg"; ; sol ali kaka zaèimbna mešanica; 3; "žemlje; na kocke narezane"; 1 dl; mleka; 1; "majhna šalotka; narezana na drobne košèke"; 3 dag; prekajene slanine narezane na košèke; 10; dag; ; "šunke; narezane na košèke"; 3; jajca; 2 žlici; "drobno narezanega <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; 1 žlica; smetane; ; "<a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; malo; zdrobljenega timijana; ; maslo in mašèoba za peèenje]
070, [; I. Omleta; ; ¡ 2 jajci ; ; "¡ <span class=""label-inline"">10 dag"; ; "¡ <span class=""label-inline"">3/4 l"; ; ¡ noževo konico soli ; ; ¡ olje za peko ; ; II. Omletni nadev; ; ¡ l5 dag pišèanèjih jeter ; ; "¡ <span class=""label-inline"">5 dag"; ; ¡ srednje veliko èebulo ; ; ¡ nekaj vejic petršilja ; ; "¡ <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> in sol "; ; ¡ žlico olja ; ; III. Omletni preliv; ; "¡ <span class=""label-inline"">2"; ; "¡ <span class=""label-inline"">1 dl"; ; je kuhala jušna zelenjava ; ; ¡ 1 dl kisle smetane ; ; ¡ jušno žlico drobno sesekljane jušne ; ; zelenjave iz uporabljene juhe ; ; "sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a> in èajna žlièka limonovega soka po okusu"; ; ¡ jušno žlico sesekljanega drobnjaka ; ; IV. Krompirjeva slama; ; "¡ <span class=""label-inline"">60 dag"; ; ¡ olje za cvrtje ; ; ¡ sol za posipanje ]
071, [; toast kruh; 1/2kg; mortadele; 1/2 kg; sira; 2; lonèka kisle smetane; 1-2; jajci; 100 dkg; kumaric; 2; fileta vložene paprike ali feferonov; 20; oliv brez košèic ; 3; šèepce origana oz. po okusu]
072, [; ".<span class=""label-inline"">5 kg"; ; ".<span class=""label-inline"">5 dl"; 3 žlice; "drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; ; sol po potrebi; malo; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>; za marinado v zrnih"; 3; jajca; ; moka in kruhove drobtine za paniranje; ; olje za cvrenje; 10; listov lepe špinaèe]
073, [2kg; made jagnjetine; ; zaèimbna mešanica ali sol; ; zdrobljen timijan; ; zdrobljen èesen; ; olje; ; limonin sok]
074, [kosi; zajca; žlica; masla; ; èebula; ; sol; ; "<a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 2; nageljnovi žbici; ; rožmarin po okusu; ; èrno vino; ; kruhove drobtine]
