id,sestavina
20012,očiščenega brancina ali tri kose ribe (riba mora biti sveža) 
20012,grobe morske soli 
20012,jajčni beljaki 
20012,vejici rožmarina
20012,<b>Za marinado: </b>
20012,"šopek sveže <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> "
20012,stroki česna 
20012,jedilne žlice olivnega olja
20012,<b>Sestavine za solato: </b>
20012,srednje velikih krompirjev 
20012,šopek divjih špargljev 
20012,soli 
20012,sladkorja 
20012,košček masla 
20012,olivno olje
20012,limonin sok
20013,<b>Za pripravo testa:</b>
20013,pšenične moke 
20013,bio masla 
20013,soli
20013,več kot 1 dl vode (1/8 l) 
20013,<b>Za nadev:</b>
20013,mlade bučke 
20013,krompirja 
20013,čebula 
20013,stroki česna 
20013,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20013,sol 
20013,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20013,nepasirane skute 
20013,jedilni žlici kisle smetane
20013,jedilna žlica olivnega olja 
20013,jedilne žlice pšeničnega zdroba
20013,<b>Sestavina za premaz:</b>
20013,jajce
20014,JŽ olivega olja
20014,šalotke
20014,srednje veliki krompirji
20014,svinjska kotleta
20014,večji korenček
20014,zrna česna
20014,JŽ paradižnikove mezge
20014,"ali 2 <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
20014,soli
20014,grobo nasekljanega timijana
20014,ČŽ mletega ingverja
20014,"vejice <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
20014,listič luštreka
20014,kisla smetana ali grški jogurt
20015,svinjska ribica
20015,sol
20015,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20015,"manjše kislo <a href=""https://www.kulinarika.net/recepti/zacimbe/269/granatno-jabolko/"">jabolko</a>"
20015,grobo naribanega parmezana
20015,kraškega pršuta
20015,masla
20015,žička moke
20015,goveje juhe
20016,<b>Za lešo ribo:</b>
20016,srednje veliki osliči
20016,čebula
20016,stroki česna
20016,olivnega olja
20016,vinskega kisa
20016,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"
20016,"zrn belega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
20016,"manjši šopek <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
20016,voda
20016,"<b>Za paradižnikovo ""šalšo"":</b>"
20016,"paradižnika (najboljši je volovsko srce; drugače pa pelate)"
20016,čebuli
20016,česna
20016,olivnega olja
20016,sladkorja
20016,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"
20016,"listov <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
20016,<b>Blitvina priloga:</b>
20016,blitve
20016,česna
20016,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20016,olivnega olja
20016,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po potrebi"
20017,<b>Za enolončnico:</b>
20017,večjih krompirjev
20017,korenja
20017,paradižnikove omake
20017,manjši kos pora (jaz kupim narezane v Hofru na zelenjavnem oddelku)
20017,pločevinka koruze
20017,para klobas za kuhanje 
20017,jušne osnove 
20017,sol
20017,šetraj 
20017,kumina
20017,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majaron</a>"
20017,timijan
20017,repičnega olja
20017,<b>Za žličnike:</b>
20017,jajci
20017,do 6 žlic moke
20018,očiščenih sip
20018,stroki česna
20018,"šopek <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
20018,črnega vina
20018,do 5 žlic olivnega olja
20019,pšeničnega zdroba
20019,masla
20019,voda
20019,sol
20019,ocvirki
20020,gladke moke
20020,mleka
20020,margarine/masla
20020,sol
20020,sladkor 
20020,kocka kvasa
20020,jajce za mazanje
20021,večji brokoli
20021,srednje velika čebula
20021,korenček
20021,peteršiljeva korenina
20021,stroki česna
20021,posušenega timijana
20021,posušenega luštreka
20021,srednje velika krompirja
20021,sladke smetane
20021,sol
20021,kisle smetane
20021,za dlan velika koža od prekajene slanine
20021,jušna žlica svinjske masti
20021,vode
20021,sveže peteršiljevo listje
20022,kumari 
20022,"krompirji (2 velika; 2 srednja)"
20022,čebule
20022,jušna kocka
20022,mleta paprika
20022,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20023,"skute (lahke; pasirane)"
20023,mali lahki tekoči jogurt
20023,jabolki
20023,"<a href=""https://www.kulinarika.net/recepti/zacimbe/9/banana/"">banana</a>"
20023,ovsenih kosmičev
20023,"<a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> (lističi)"
20023,pecilni prašek
20023,jajca
20023,merica vanilijevih proteinov
20023,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimet</a> po okusu"
20023,po želji lahko koščki temne čokolade
20024,<b>Biskvit:</b>
20024,rumenjakov
20024,sladkorja
20024,pecilnega praška
20024,kakava
20024,ostre moke
20024,sneg 6 beljakov
20024,<b>Nadev:</b>
20024,jajci
20024,sladkorja
20024,mleka
20024,rebra čokolade (100 g)
20024,masla
20024,mletih orehov
20024,ruma - po želji
20024,"<a href=""https://www.kulinarika.net/recepti/zacimbe/9/banana/"">banane</a> - poiščemo čimbolj ravne"
20025,"do <span class=""label-inline"">700 g"
20025,naribanega sira
20025,jajci
20025,česna
20025,do 3 žlice drobtin
20025,"do <span class=""label-inline"">3 žlice"
20025,sol
20025,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20026,moke
20026,masla
20026,sladkorja v prahu
20026,pecilnega praška
20026,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20026,rumenjaka
20026,jabolk
20026,sladkorja
20026,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
20026,kisle smetane
20027,veliki čebuli
20027,mali strok česna
20027,veliki papriki
20027,manjša paradižnika
20027,"slanine; pol para kranjske klobase"
20027,konzerva fižola ali 2 mali
20027,"začimbe (vegeta; sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majaron</a>; origano; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>;...)"
20028,srednje veliki krompirji
20028,stroki česna
20028,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20028,kuhanega kostanja
20028,mleka
20028,listki žajblja
20028,"vejica <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
20029,moke
20029,sladkorja v prahu
20029,manjše jajce
20029,pecilnega praška
20029,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20029,margarine ali pol margarine in pol masla
20029,marmelada
20030,bučk
20030,"paprike (1 rumena; 1 rdeča; 1 <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a>)"
20030,paradižniki
20030,stroki česna
20030,"šop <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
20030,čebula
20030,paradižnik v tubi
20030,olje
20030,sol
20031,<b>Nadev:</b>
20031,piščančje prsi
20031,bučka
20031,paradižniki
20031,por
20031,korenček
20031,listnato testo
20031,nariban sir
20031,sezam
20031,bučna semena
20032,moke
20032,pecilnega praška
20032,sladkorja v prahu
20032,margarine
20032,jajčna rumenjaka
20032,marmelada po potrebi
20032,ruma
20032,"vode; po potrebi"
20032,jagodna aroma
20032,voda
20032,kristalni sladkor
20033,<b>Čokoladni biskvit:</b>
20033,margarine
20033,jedilne čokolade
20033,malin
20033,jajci
20033,sladkorja
20033,moke
20033,<b>Malinov nadev:</b>
20033,malin
20033,mleka
20033,kokosa
20033,sladkorja v prahu
20033,<b>Čokoladni preliv:</b>
20033,jedilne čokolade
20033,jž sladke smetane
20034,moke
20034,sladkorja v prahu
20034,manjše jajce
20034,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20034,pecilnega praška
20034,margarine/masla
20034,kakava
20034,"čokoladni namaz (Nutella;...)"
20035,mlete govedine ali mešano ml. meso
20035,krompirja
20035,manjši čebuli
20035,česna
20035,jž moke
20035,jajce
20035,"sol; vegeta"
20035,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; olje"
20035,<b>Bešamel:</b>
20035,jž masla
20035,jž moke
20035,mleka
20035,smetane za kuhanje
20035,"sira (gavda; edamec; trapist...)"
20035,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20036,<b>Testo:</b>
20036,moke
20036,suhega kvasa
20036,soli
20036,sladkorja
20036,mlačnega mleka
20036,rumenjaka
20036,masla sobne temperature
20036,zamašek ruma
20036,<b>Nadev:</b>
20036,grobo zmletih bučnih semen
20036,rjavega sladkorja
20036,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20036,tople sladke smetane
20036,zamaškov ruma
20036,naribana lupina ene limone 
20036,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> "
20036,beljaka (nestepena)
20037,"domače črno grozdje (<span class=""label-inline"">3 kg"
20037,"želirni sladkor (<span class=""label-inline"">3 kg"
20037,limona
20037,gelfix
20037,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> ekstrakt"
20038,<b>Testo: </b>
20038,moke
20038,pecilnega praška
20038,sladkorja v prahu
20038,masla
20038,rumenjak
20038,mleka
20038,soli
20038,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20038,nastrgane limonine lupine
20038,<b>Masa za krašenje:</b>
20038,beljak
20038,sladkorja v prahu 
20038,limoninega soka
20039,jajci
20039,"lonček (cup = ca. 2;5 dl) sladkorja"
20039,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> sladkorja"
20039,lončka olja
20039,lonček mleka
20039,lonček moke
20039,pecilnega praška
20039,lončka kakava v prahu
20039,"čokoladna glazura; npr. temna čokolada in maslo"
20039,po želji marelična marmelada
20040,<b>Biskvit:</b>
20040,jajca
20040,sladkorja
20040,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20040,olja
20040,mleka
20040,moke
20040,pecilni prašek
20040,kakava
20040,<b>Ostalo:</b>
20040,vanilijeva pudinga
20040,mleka
20040,Albert keksi
20040,jedilna čokolada
20040,"Za navlažitev biskvita uporabimo mleko; sladkor; rum (po okusu)."
20041,kuhanega fižola (zrnje)
20041,sardin iz konzerve
20041,manjša čebulica
20041,trdo kuhano jajce
20041,kaper iz slanice
20041,fileti inčunov iz olja
20041,kisle smetane
20041,oljčno olje
20041,sol
20041,"sveže mleti <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20043,JŽ olivnega olja
20043,zrezka narezana na trakove (cca. 150 g) 
20043,narezanega pora
20043,oliv brez koščic
20043,"manjša rumena paprika; narezana na trakove"
20043,"korenčka in gomolja <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>; narezane na kocke"
20043,"JŽ domače ""vegete"""
20043,"ČŽ mlete paprike; pol žličke kajenskega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> (odvisno od želje po pikantnosti)"
20043,"ČŽ posušene tajske <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"
20043,"cca. <span class=""label-inline"">2dl"
20043,JŽ sojine omake
20043,špagetov Shirataki brez OH
20044,<b>Za čokoladni biskvit:</b>
20044,jajc 
20044,pšenične moke 
20044,sladkorja
20044,"zavojček <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> sladkorja"
20044,zavojček pecilnega praška
20044,čajne žličke sode bikarbone
20044,soli
20044,vode
20044,sončničnega olja
20044,temnega kakava v prahu
20044,po želji še kakšna žlica Nutelle
20044,čokoladnega mleka za vlaženje
20044,<b>Za cookies nadev:</b>
20044,mascarponeja
20044,sladke smetane
20044,jedilni žlici sladkorja v prahu
20044,paket (približno 130 g) ameriških cookijev - lahko tudi domačih
20044,mleka
20044,"kvaliteten <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> ekstrakt (npr. Dr. Oetker)"
20044,<b>Za dekoracijo:</b>
20044,ostružki iz bele čokolade za dekoracijo
20044,čokoladne palčke za dekoracijo
20045,večja krompirja
20045,sol
20045,rožmarin
20045,maslo
20046,<b>Biskvit:</b>
20046,margarine
20046,jajc
20046,sladkorja
20046,čokolade v prahu
20046,velike žlice moke
20046,pecilni prašek
20046,mleka
20046,<b>Krema:</b>
20046,sladke smetane 
20046,jedilne čokolade
20047,<b>Polnilo:</b>
20047,večja kuhana jabolka
20047,sladkorja
20047,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
20047,<b>Biskvit:</b>
20047,jajci
20047,moke
20047,sladkorja
20047,noževa konica pecilnega praška
20047,"listi želatine (<span class=""label-inline"">4;5 g"
20048,kumari
20048,grški jogurt Total ali 1 kisla smetana
20048,česna
20048,jedilna žlica oljčnega olja
20048,jedilna žlica limoninega soka
20048,sol
20048,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20048,koper (svež ali sušen)
20049,<b>Krompirjevo testo:</b>
20049,krompirja
20049,moke
20049,jajce
20049,čž masla
20049,sol
20049,<b>Mesni nadev:</b>
20049,mlete govedine (ali mleto mešano meso)
20049,srednja čebula 
20049,jušni žlici paradižnikove mezge
20049,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20049,<b>Za paniranje:</b>
20049,jajca
20049,drobtine
20051,polnozrnate pšenične moke
20051,bele moke (lahko tudi 500 g PZ pšenične moke)
20051,tople vode
20051,medu ali melase
20051,suhega kvasa
20051,gorgonzole
20051,mletih orehov
20051,soli
20052,masla
20052,mleka
20052,špinače
20052,moke
20052,čž pecilnega praška
20052,čž sode bikarbone
20052,parmezana
20052,jajce
20052,nepasirane skute
20053,<b>Za peko kruhovih skodelic:</b>
20053,pšenične moke 
20053,polnozrnate moke 
20053,"kocke kvasa (<span class=""label-inline"">21 g"
20053,soli
20053,sladkorja 
20053,mleka 
20053,jedilna žlica stopljenega bio masla
20053,jajce
20053,<b>Za kuho gobove kremne juhe:</b>
20053,mešanih gob (šampinjoni in jurčki)
20053,jedilni žlici olivnega olja 
20053,česna 
20053,čebule 
20053,timijan 
20053,"mleti <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "
20053,sol
20053,masla
20053,jedilni žlici moke 
20053,zelenjavne jušne osnove 
20053,jedilne žlice kisle smetane
20053,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20054,meso iz juhe
20054,čebula
20054,česen
20054,olje
20054,kis
20054,sol
20054,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20054,krompir
20055,"palamida (<span class=""label-inline"">1 kg"
20055,paradižnika
20055,paprika
20055,čebule
20055,stroki česna
20055,korenja
20055,feferona (nepekoča)
20055,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20055,krompirji
20055,olivno olje
20056,prosene kaše
20056,mleka
20056,čokoladni puding
20056,sladkor (2 žlici + 2 žlici)
20056,čokolade + tablica za okrasitev
20056,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20056,soli
20056,masla
20056,ruma
20056,kakava
20057,<b>Čokoladno-piškotno testo (2 diska): </b>
20057,jedilne čokolade
20057,masla
20057,jajci
20057,sladkorja
20057,rjavega sladkorja
20057,kakava v prahu
20057,bele moke
20057,pecilnega praška
20057,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> ekstrakta"
20057,soli
20057,zdrobljenih pekan orehov
20057,bele čokolade
20057,mlečne čokolade
20057,<b>Victoria sponge biskvit:</b>
20057,jajci
20057,sladkorja v prahu
20057,moke
20057,pecilni prašek
20057,masla sobne temperature
20057,<b>Bela pudingova krema: </b>
20057,mleka
20057,"puding z okusom sladke smetane (lahko tudi <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a>)"
20057,Gustina
20057,sladkorja
20057,"želatini (<span class=""label-inline"">20 g"
20057,mascarpone
20057,<b>Čokoladna krema: </b>
20057,jedilne čokolade
20057,sladke smetane
20057,mascarponeja
20057,prbl. polovica vrečke želatine fix
20057,stepena smetana za okras (po želji)
20057,mleko (za navlažitev sponge biskvita)
20058,pekočih feferonov
20058,glavici česna
20058,medu
20058,soli
20058,sirotke (tudi če je feferonov več)
20058,poljubne začimbe
20059,"feferonov (če so prepikantni; jih enostavno zredčite s papriko)"
20059,beli čebuli
20059,glavici česna
20059,medu/sladkorja
20059,soli
20059,"mešanice origana; <a href=""https://www2.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a> in timijana"
20059,"ingverja(pozor; je pikanten)"
20059,"mešanice mletega črnega kardamoma; kumína oz. črne kumine (ne navadne naše kumine); koriandra; <a href=""https://www2.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
20059,tamarinda/lahko tudi paradižnik
20059,olivno olje
20060,moke
20060,sladkorja
20060,mleka
20060,jajce
20060,masla
20060,vaniljev sladkor v prahu
20061,mleka
20061,jž gustina
20061,jž sladkorja
20061,margarine
20061,sladkorja v prahu
20061,kokosa
20061,jedilne čokolade
20061,še nekaj kokosa za povaljati kroglice
20062,<b>Dno:</b>
20062,pecilni prašek
20062,moke
20062,masla
20062,jajce
20062,mineralne vode
20062,olja
20062,sladkorja
20062,soli
20062,kisle smetane
20062,<b>Jagodna krema:</b>
20062,jagod
20062,jagodni puding
20062,sladkorja
20062,<b>Krema iz bele čokolade:</b>
20062,bele čokolade
20062,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding"
20062,rumenjaki
20062,sladke smetane
20062,kisle smetane
20062,vanilijeva aroma
20062,<b>Vanilijeva krema:</b>
20062,rumenjakov
20062,sladkorja v prahu
20062,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20062,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding"
20062,moke
20062,mleka
20062,masla
20063,masla
20063,moke
20063,sladkorja
20063,mleka
20063,jajca
20063,kavni žlički pecilnega praška
20064,bučk
20064,čebuli
20064,jajci
20064,moke
20064,mleka
20064,"topljivega sira (Tilzit; Mozzarela ipd.)"
20064,sol
20064,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20064,rdeče paprike
20065,čebula
20065,papriki
20065,paradižnik
20065,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20065,"sol; kurkuma"
20065,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; vegeta"
20065,jajca ali kisla smetana
20066,mleka
20066,bele čokolade
20066,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijevega</a> pudinga v prahu"
20066,smetanov puding v prahu
20066,sladkorja
20066,"belega ruma (lahko nadomestimo s temnim; a bo liker prevzel okus po rumu in spremenil barvo; lahko tudi mešamo)"
20067,<b>Biskvit:</b>
20067,jajc
20067,sladkorja
20067,vanilijeva sladkorja
20067,naribana lupinica 2 limon
20067,fino mletih bučnih semen
20067,<b>Krema:</b>
20067,mascarpone sira
20067,kisle smetane
20067,sirnega namaza
20067,sladke smetane
20067,kremfix
20067,vanilijevi sladkorji
20067,sladkorja
20067,<b>Bučni krokant:</b>
20067,sladkorja v prahu
20067,celih bučnih semen
20068,rezin slanine
20068,gorgonzole
20068,suhih sliv
20069,bučnega pireja
20069,moke
20069,stopljenega masla
20069,toplega mleka
20069,rumenjak
20069,suh kvas
20069,sladkorja
20069,sol
20069,sesekljanega rožmarina
20069,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/77/mak/"">makovih</a> semen"
20070,vode
20070,mleka
20070,zvrhane žlice ovsenih kosmičev
20070,soli
20070,sladkor po okusu
20070,kosem masla
20070,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimet</a>; čokolada v prahu za posip"
20071,sladkorja
20071,margarine ali masla
20071,arašidovega masla
20071,čokolade za kuhanje 
20071,"+ dodatnih <span class=""label-inline"">70-100 g"
20071,kakava v prahu
20071,moke
20071,večja jajca
20071,soli
20072,<b>. plast:</b>
20072,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> puding iz vrečke"
20072,mleko za pripravo pudinga (glej na embalažo)
20072,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20072,<b>.plast:</b>
20072,navadnih piškotov/keksov 
20072,"čokoladnih piškotov ali kosmičev (Nesquick;...)"
20072,<b>. plast:</b>
20072,mascarpone sirčka
20072,+ 1 dl sladke smetane
20072,velike žlice kakijeve marmelade ali -->
20072,"(<span class=""label-inline"">2 velika"
20072,<b>Preliv: </b>
20072,kakijeve marmelade
20072,vode
20072,želatine
20073,<b>Za biskvite  po 3x:</b>
20073,beljakov
20073,sladkorja
20073,mletih orehov
20073,moke
20073,<b>Za jajčno kremo:</b>
20073,rumenjakov
20073,sladkorja
20073,moke
20073,mleka
20073,margarine
20073,temne čokolade
20073,bele čokolade
20073,mletih orehov
20073,šlag pene + mleko
20074,srednje velikih čebul
20074,mlete govedine
20074,riža 
20074,korenček
20074,sol
20074,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20074,vegeta
20074,<b>Za prežganje:</b>
20074,olje
20074,moka
20074,rdeča mleta paprika
20075,<b>Za špecle:</b>
20075,moke
20075,jajc
20075,muškatni orešček
20075,zvrhani čajni žlički soli
20075,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20075,topla voda
20075,kanček mleka
20075,<b>Za omako:</b>
20075,čebula
20075,pršuta (narezanega na koščke) 
20075,smetane za kuhanje
20075,mleka
20075,naribanega sira
20075,drobtine
20075,maslo
20075,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20076,<b>Za kruh:</b>
20076,polnozrnate moke 
20076,srednje veliki krompirji
20076,krompirjeve vode
20076,"šopek kuhanih divjih špargljev (sestavine za kuho: šopek divjih špargljev; malo soli; malo sladkorja; košček masla)"
20076,špargljeve vode
20076,kocka kvasa (42 g kvasa)
20076,soli 
20076,sladkorja 
20076,mleka 
20076,jedilni žlici olivnega olja 
20076,jajce
20076,<b>Sestavine za nadev:</b>
20076,sira v slanici
20076,"mešanice semen (sončnično seme; bučno seme; sezamovo seme in laneno seme)"
20077,"do <span class=""label-inline"">4"
20077,manjša bučka
20077,masla
20077,pinjol
20077,prosena ali druga moka 
20077,jajce
20077,"origano; sol"
20078,špagetov
20078,do 5 žlic ekstra deviškega olivnega olja
20078,svežih kruhovih drobtin
20078,sveže naribanega parmezana
20078,sveže naribanega pecorina
20078,mala pločevinka slanih sardel
20078,stroki česna
20078,paradižnikove mezge
20078,voda
20079,vina (Sivi pinot)
