id,sestavina
015,"<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilika</a>"
015,juhe (iz kocke) 
016,žabjih krakov (poleti uporabljamo le zamrznjene krake)
016,masla
016,moke
016,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> ali kreše"
016,strtega èesna
016,nastrganega muškatnega oreška
016,"vode; v kateri se je kuhala zelenjava"
016,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
017,dobrega rdeèega vina
017,vode
017,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
017,nageljnovi žbici
017,limonina lupina
017,sladkorja
017,masla
017,moke
017,rumenjaka
017,sol po okusu
018,"stebla pora; oprana in narezana na kolobarèke"
018,mladi èebuli narezani na kolobarèke
018,masla
018,kokošje juhe iz kocke
018,"veèji krompirji; olupljeni in narezani na kocke"
018,skodela kisle smetane
018,nasekljanega drobnjaka
018,"sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
019,teletine s kostjo
019,vode
019,èebula narezana na èetrtine
019,stroki strtega èesna
019,"zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
019,sol po okusu
019,list lovorja
019,timijana
019,moke
019,"veèji krompirji; narezani na kose"
019,kisa
019,kisle smetane
019,po želji eno jajce
019,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
020,narezanega zelja
020,sesekljana èebula
020,mehke govedine
020,vode
020,"korenèek; narezan na kolobarje"
020,limoninega soka
020,rjavega sladkorja
020,moke
020,olja
020,jušna kocka
020,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
021,manjša cvetaèa
021,drobno sesekljana èebula
021,strtega èesna
021,masla
021,kokošje juhe ali juhe iz kocke
021,sladke smetane
021,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
021,"rezini popeèenega toasta; narezanega na kocke"
021,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
022,"buèk; olupljenih in narezanih na košèke"
022,olja
022,olupljena in narezana paradižnika
022,"papriki; narezani na rezine"
022,drobno sesekljana èebula
022,"drobno nasekljane <a href=""https://www.kulinarika.net/recepti/zacimbe/81/melisa/"">melise</a>"
022,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
022,jajce
022,kisle smetane
022,kisa ali limoninega soka
022,vode ali juhe iz kocke
022,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
023,govejega boènika ali kakega drugega kosa mesa
023,svinine / ni nujno /
023,divjaèinskega mesa
023,"veèji èebuli; narezani na drobno"
023,strtega èesna
023,o dag olupljenega in na veèje kose narezanega krompirja
023,feferon ali malo pekoèe paprike
023,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleno</a> in 1 rdeèo papriko; narezano na rezine"
023,po želji lahko nekaj narezanih gob
023,olja
023,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
023,rdeèe paprike
023,šcepec timijana
023,pimenta
023,list lovorja
023,šcepec mlete kumine
023,belega vina
024,krompirja
024,olupljenih èebulic
024,"pora; narezanega na kolobarje"
024,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>; narezane na rezine (primernejša je stebelna <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a>)"
024,masla
024,lovorovi listi
024,timijana
024,"pišèanèjih jeter; narezanih na košèke"
024,"drobno sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
024,vode ali juhe
024,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
025,zmlete svinjine
025,sesekljane bele èebule
025,pekoèe rdeèe paprike
025,"drobno narezana <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika"
025,masla
025,moke
025,juhe iz kock
025,"sveži paradižniki ali paradižniki iz ploèevinke; olupljeni in narezani na košèke"
025,skodela kuhanega riža
025,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
026,"masla ali <span class=""label-inline"">2 žlici"
026,pšeniènega zdroba
026,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
026,vrele slane vode ali vroèe vode z jušno kocko
026,jajce
026,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu "
026,nastrgan korenèek
027,"avokada; prerezana in poškropljena s sokom limone; da ne oksidira"
027,kuhanih rakcev
027,kuhanega graha
027,trdo kuhani jajci
027,"mandarina; olupljena in narezana na košèke"
027,veliki žlici majoneze
027,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
027,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
027,listi solate
028,"kvalitetne govedine / pleèe; prsa ali flam"
028,kg. jagnjetine
028,krompirja
028,do 3 dag soli
028,"zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
028,liste lovorja
028,veèja èebula narezana na drobno
028,strokov èesna
028,"do 3 korenèke; narezane na kolobarje"
028,"narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
028,"narezane <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>/5 dag"
028,nageljnovih žbic zavitih v gazo.
028,narezanega paradižnika ali pa 2 žlici paradižnikove mezge
028,dobrega belega vina 
029,"l<span class=""label-inline"">5 dag"
029,limonin sok
029,kisle kumarice
029,narezane ali zmlete
029,dobro olje
029,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
029,drobno narezana bela èebulica
029,"žlicka drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
029,"<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"
029,majoneza
029,sojina omaka
029,tabasko omaka
029,"sol po okusu ali pa zaèinka <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>"
029,kisa ali suhega vina 
030,mletega mesa
030,pelatov ( velika konzerva )
030,rdeèega fižola ( velika konzerva )
030,vode
030,olja
030,soli
030,"zmletega èrnega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
030,mlete indijske kumine ali navadne
030,"cajenskega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> (mlet chilli)"
030,stroki èesna
030,lovorjev list 
030,moke
030,rdeèa paprika 
030,avokado
030,srednja èebula
030,sira gauda
030,kisle smetane
031,drobno mleto meso
031,"zaèimbe (sol;<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; èesen...)"
031,jajce
031,moka
031,olje
031,èebula
031,juha
031,belo vino
031,kisla smetana
031,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
032,mehke govedine brez kosti
032,in pol žlièke sladkorja
032,sojine omake
032,hoisinove omake / dobi se pri nas v veèjih trgovinah/
032,suhega vina ali šerija
032,ali 4 stroki èesna
032,namiznega olja
033,"mehke svinine;narezane na košèke"
033,opranega riža
033,masti
033,"èebula; narezana na košèke"
033,veèja paradižnika narezana na rezine
033,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleni</a> papriki; narezani na rezine"
033,"prekajene svinine; narezane na košèke"
033,kisle smetane
033,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu in potrebi"
033,rdeèe paprike 
034,pišèanèji bedri
034,srednje veliki èebuli
034,stroki èesna
034,jušna kocka
034,olje
034,vroèe vode
034,"sol; zaèimbna mešanica; èesen v prahu (za zaèinitev mesa) "
035,govejega boènika ali vratovine
035,nalistane èebule
035,masti
035,vode
035,sol
035,moke
035,sladke zmlete paprike
035,kisa in sol
036,goveji zrezki
036,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
036,stroki èesna
036,èebula
036,papriki
036,paradižnika
036,buèka
036,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
036,paradižnikove mezge
036,olja
037,govejega mesa
037,"rezine svežega ali konzerviranega <a href=""https://www.kulinarika.net/recepti/zacimbe/4/ananas/"">ananasa</a>"
037,sojine ali worcesterske omake
037,sladkorja
037,soli
037,limoninega soka
037,nastrganega ingverja
037,strtega èesna
037,olja
038,mehke govedine
038,piva
038,olja
038,limoninega soka
038,strtega èesna
038,lista lovorja
038,timijana v prahu
038,origana v prahu
038,"zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a>"
038,vejica rožmarina
038,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
038,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
039,kuhanega ali peèenega mesa
039,masti
039,èebuli
039,sol
039,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
039,jajc
039,mleka
040,mesa suhega bakalarja ali polenovke
040,olivnega olja
040,èesnovega soka
040,"sol in malo <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a> po okusu"
040,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
041,dateljev
041,kakega dobrega pikantnega sira
042,grapefruit
042,majoneza
042,ketchup
042,vodka
043,<b>Za 4-6 obrokov:</b>
043,jajc
043,drobno sesekljana èebula
043,olja
043,curryjevega praška
043,majoneze
043,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
043,<b>Za riževo solato:</b>
043,riža
043,vinaigrette
043,rozin
043,sesekljanih suhih marelic
043,grobo sesekljanih orehov
043,šopek kreše (za okras)
043,<b>Za omako vinaigrette:</b>
043,"kisa ali <span class=""label-inline"">1;5 žlice"
043,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
043,"dijonske <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a> (po želji) "
043,olja
044,kisle kumarice
044,èebula
044,sladka rdeèa paprika ( suha )
044,sol
044,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "
044,skuta
044,smetana - sladka ali kisla
045,jajc
045,majoneze
045,limoninega soka
045,manjša nastrgana èebula
045,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
045,"belega <a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
045,sol po okusu
045,"vejica <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> za okrasitev"
046,veèjih razkošèièenih oliv
046,zmlete govedine
046,"pišèanèja jetra; narezana na drobno"
046,strtega èesna
046,naribanega parmezana
046,olja
046,odišavljenih kruhovih drobtin (zmešanih z zaèimbami)
046,"šcepec posušene zdrobljene <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali origana"
046,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
046,"Za paniranje: moka ; stepeno jajce; kruhove drobtine in olje za cvrenje"
047,manjših paradižnikov
047,mašèobe
047,jajca
047,zaèimbne mešanice
047,"narezane kreše; mete; krebuljice; <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> ali <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>; suhe zaèimbe zdrobimo"
047,naribanega sira
047,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
048,<b>Za 10 oseb:</b>
048,"jajc;"
048,"kumarice po želji;"
048,"ketchup;"
048,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a>;"
048,"mleta rdeèa paprika;"
048,sendviè klobase
048,"sira edamca;"
048,"soli;"
048,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>;"
048,olja. 
049,skute
049,"kakega ostrega sira; naribanega na rezance"
049,"manjša èebula; naribana na rezance"
049,belega vina
049,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
049,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
049,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>ženih in zdrobljenih <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> "
050,sveže skute
050,kisle smetane
050,drobno narezanega ali zdrobljenega timijana
050,drobno narezanega drobnjaka
050,drobno narezanega koprca
050,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
050,trdo kuhano jajce
052,mleka
052,masla
052,pšeniènega zdroba
052,skute
052,jajce
052,pršuta
052,rakovih repkov
052,"<a href=""https://www.kulinarika.net/recepti/zacimbe/8/bambus/"">bambusovih</a> vršièkov"
052,sladka smetana
052,"èesen; oljèno olje"
052,sol
053,suhega mesa brez kosti
053,medu
053,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
053,zdrobljenih nageljnovih žbic
053,sojine omake 
053,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"
054,moke
054,margarine
054,kvasa
054,žlièko soli
054,"cca <span class=""label-inline"">3dcl"
054,"sezam; kumina ali <a href=""https://www.kulinarika.net/recepti/zacimbe/77/mak/"">mak</a>"
054,rumenjak za premaz
055,jajc
055,ploèevinki tune
055,majoneze
055,masla
055,drobno narezanega ali zdrobljenega timijana
055,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
055,par kapljic soka limone
055,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
056,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> solata"
056,škampovi repki
056,ketchup
056,majoneza
056,vodka
056,"beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
056,paradižnik
056,kumare
056,limona
056,pomaranèa
057,tunine v olivnem olju
057,veèjih vloženih kislih kumaric
057,manjša glava èebule
057,mlete paprike (nepekoèe)
057,sladke smetane
057,velikih žlic majoneze
057,konjaka
057,sol ali vegeta
058,tenkih rezin lososa
058,"francoske solate; lahko kupljene lahko jo naredimo sami "
058,listov solate
059,mletega mesa
059,èebula
059,èesna
059,krompirja
059,kisle smetane
059,jajci
059,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
059,mašèoba
059,maslo
060,So opisane v samem postopku.
061,Mlada raca ali gos
061,sol po okusu
061,kumina
061,kostanji oz. kisla jabolka
061,maslo po okusu
062,"<span class=""label-inline"">2 kg"
062,"sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
062,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a> ali origana"
062,"veèja kisla jabolka;olupljena in narezana na drobno"
062,skodela olupljenih in peèenih kostanjev
062,vroèe vode
062,piva
062,zaèimbne mešanice
062,jedilnega škroba 
063,mesa
063,prekajene slanine
063,list lovorja
063,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
063,par suhih borovnic
063,masla
063,belega vina
063,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
063,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
063,olje za peèenje
064,mesnate slanine
064,sala
064,svinjskih jetrc
064,ledene vode
064,soli
064,"jedilne žlice mletega belega <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
064,pimenta
064,mlete kumine
064,nastrganega muškatnega orešèka
064,"jedilna žlica <a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
064,èesna in nastrgana lupina neškropljene limone
065,"krompirja; olupljenega in narezanega na rezine"
065,mašèobe
065,"èebuli; narezani na drobno"
065,"mletega mesa (pol svinjine; pol govedine)"
065,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
065,jajca
065,kisle smetane
065,mleka
065,naribanega sira
066,"srednje velike svinjske kotlete zarežemo; da naredimo žepek"
066,skute
066,kisle smetane
066,"vloženega <a href=""https://www.kulinarika.net/recepti/zacimbe/44/hren/"">hrena</a>"
066,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
066,maslo za peèenje
066,moka za kotlete
067,mlad zajec
067,drobovina dotiènega zajca
067,kruh
067,mleka
067,jajci
067,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
067,sol
067,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
067,èebula
067,maslo
067,paradižnik (ali mezga)
067,Opcija - olive
068,<b>Za 6-8 obrokov:</b>
068,teleèjih prsi
068,trdo kuhani jajci zrezani na rezine
068,"kuhane; na tanke rezine narezane gnjati"
068,olja
068,surovega masla
068,na èetrtinke narezana èebula
068,na èetrtinke narezan korenèek
068,"na velike kose narezano steblo belušne <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
068,belega vina
068,teleèje osnove
068,strt strok èesna
068,bouquet garni
068,<b>Za nadev:</b>
068,drobno sesekljana èebula
068,surovega masla
068,zmlete puste teletine
068,svežih drobtin belega kruha
068,sesekljana stroka èesna
068,naribana lupina limone
068,"sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
068,muškata
068,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
068,razžvrkljani jajci 
069,"do <span class=""label-inline"">2 kg"
069,sol ali kaka zaèimbna mešanica
069,"žemlje; na kocke narezane"
069,mleka
069,"majhna šalotka; narezana na drobne košèke"
069,prekajene slanine narezane na košèke
069,dag
069,"šunke; narezane na košèke"
069,jajca
069,"drobno narezanega <a href=""https://www2.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
069,smetane
069,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
069,zdrobljenega timijana
069,maslo in mašèoba za peèenje
070,I. Omleta
070,¡ 2 jajci 
070,"¡ <span class=""label-inline"">10 dag"
070,"¡ <span class=""label-inline"">3/4 l"
070,¡ noževo konico soli 
070,¡ olje za peko 
070,II. Omletni nadev
070,¡ l5 dag pišèanèjih jeter 
070,"¡ <span class=""label-inline"">5 dag"
070,¡ srednje veliko èebulo 
070,¡ nekaj vejic petršilja 
070,"¡ <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> in sol "
070,¡ žlico olja 
070,III. Omletni preliv
070,"¡ <span class=""label-inline"">2"
070,"¡ <span class=""label-inline"">1 dl"
070,je kuhala jušna zelenjava 
070,¡ 1 dl kisle smetane 
070,¡ jušno žlico drobno sesekljane jušne 
070,zelenjave iz uporabljene juhe 
070,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; <a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèica</a> in èajna žlièka limonovega soka po okusu"
070,¡ jušno žlico sesekljanega drobnjaka 
070,IV. Krompirjeva slama
070,"¡ <span class=""label-inline"">60 dag"
070,¡ olje za cvrtje 
070,¡ sol za posipanje 
071,toast kruh
071,mortadele
071,sira
071,lonèka kisle smetane
071,jajci
071,kumaric
071,fileta vložene paprike ali feferonov
071,oliv brez košèic 
071,šèepce origana oz. po okusu
072,".<span class=""label-inline"">5 kg"
072,".<span class=""label-inline"">5 dl"
072,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
072,sol po potrebi
072,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>; za marinado v zrnih"
072,jajca
072,moka in kruhove drobtine za paniranje
072,olje za cvrenje
072,listov lepe špinaèe
073,made jagnjetine
073,zaèimbna mešanica ali sol
073,zdrobljen timijan
073,zdrobljen èesen
073,olje
073,limonin sok
074,zajca
074,masla
074,èebula
074,sol
074,"<a href=""https://www2.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
074,nageljnovi žbici
074,rožmarin po okusu
074,èrno vino
074,kruhove drobtine
075,puranovih ali pišèanèjih prsi
075,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> in rdeèa paprika po okusu"
075,drobno narezanega timijana
075,masla
075,suhega vina
075,veèja žlica smetane
075,"<a href=""https://www.kulinarika.net/recepti/zacimbe/37/gorcica/"">gorèice</a>"
075,skodela naribanega sira
075,kruhovih drobtin
075,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
076,teleèji kraèi
076,strtega èesna
076,"sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> ali zaèinka"
076,mašèoba za peèenje
076,juha za zalivanje
077,pišèanèjih prsi
077,"mešane zelenjave (paprika; grah; korenèek)"
077,steklenih rezancev (lahko so tudi navadni špageti)
077,"sojina omaka; olje; kis; sol; <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>; curry"
077,gustina oz. škroba
078,pišèanèjega fileja na osebo
078,olivnega olja
078,glave èebule
078,strokov èesna
078,rjavega sladkorja (lahko tudi navadnega)
078,soli
078,curryja
078,vegete
078,belega vina
078,kokosove moke
078,mleka
078,vode
078,sok pol limete (lahko limone)
079,pišèanec
079,kozarec kisle smetane
079,stroke èesna
079,trdo kuhana jajca
079,kisle kumarice
079,olje
079,sol
079,olje
080,kislega zelja
080,svinjskega mesa
080,riž
080,èebula
080,vegeta
080,lovorova lista
081,o dag mletega mesa
081,v mleku namoèenega in ožetega kruha
081,jajce
081,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
081,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
081,kruhove drobtine v katere povaljamo polpete.
082,mlete nemastne junetine
082,mlete nemastne svinjine ali perutnine
082,skute
082,"sesekljan <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
082,kruha kruha
082,mleko
082,jajci
082,morska sol
082,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
082,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majaron</a>"
082,èesen
082,kruhove drobtine
083,"o dag tenkih rezin purana; teletine ali svinine"
083,sojine omake
083,nastrganega ingverja
083,strtega èesna
083,sezamovega olja
083,sladkorja
083,suhega vina
083,moka 
083,jajce
083,kruhove drobtine
084,tenki zrezki potolèeni (meso mora biti od šimbasa)
084,"na debelo zmleti <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
084,sol po potrebi
084,masla
084,belega vina ali konjaka
084,masla
085,".<span class=""label-inline"">5 kg"
085,olja
085,"èebuli ; narezani na drobne košèke"
085,strtega èesna
085,na drobno narezane prekajene slanine
085,olupljena in na košèke narezana paradižnika
085,paradižnikove mezge
085,"do <span class=""label-inline"">4"
085,"<a href=""https://www.kulinarika.net/recepti/zacimbe/76/majaron/"">majarona</a>"
085,muškatovega orešèka
085,vejica rožmarina
085,"nageljnovi žbici ali <a href=""https://www.kulinarika.net/recepti/zacimbe/87/nageljnove-zbice-klincki-/"">klinèka</a>"
085,rdeèe paprike
085,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
085,belega vina
085,èrnega vina
085,kisle smetane
086,<b>Za kilogram in pol srninega hrbta potrebujemo: </b>
086,"veèja korena; narezana na rezine"
086,"korenino <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>; narezanega na rezine "
086,"narezane <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
086,stroki narezanega èesna
086,"lo zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
